improve_diplomatical_education;Seek a Tutor;Chercher un tuteur.;Einen Lehrer suchen;;Buscar a un tutor.;;;;;;;;;x
EVTDESCCASGAR16;You listen closely and are shocked to hear [From.GetTitledFirstName]'s voice. Even more shocking are the details of [From.GetHerHis] plan to [From.GetPlot]. You steal quietly away from the scene and contemplate what you will do with this information. ;Vous écoutez attentivement et êtes choqué non seulement d'entendre la voix de [From.GetTitledFirstName], mais surtout les détails de son plan pour [From.GetPlot]. Vous vous éloignez discrètement des lieux et réfléchissez à ce que vous allez faire de cette information.;Ihr hört angestrengt zu und seid schockiert, als Ihr die Stimme von [From.GetTitledFirstName] erkennen könnt. Noch erschütternder ist allerdings, was  [From.GetTitledFirstName] zu tun gedenkt … er will [From.GetPlot]. Ihr schleicht Euch still und heimlich wieder davon und überlegt, was Ihr mit diesen Informationen zu tun gedenkt.;;Escuchas con atención y te sorprendes al escuchar la voz de [From.GetTitledFirstName]. Aún más sorprendente son los detalles de el plan de [From.GetHerHis] para [From.GetPlot].Te vas tranquilamente lejos de la escena y contemplas lo que va a hacer con esta información.;;;;;;;;;x
casgar16opt;A most interesting development. ;Une évolution intéressante.;Eine interessante Entwicklung.;;Un plan muy interesante..;;;;;;;;;x
EVTDESCCASGAR17;One evening while on a stroll through your gardens, you decide to sit down and rest outside your hedge maze. Suddenly, you hear a familiar voice speaking quietly on the other side of the hedge. ;Lors d'une promenade vespérale dans vos jardins, vous vous asseyez et vous reposez hors de votre labyrinthe végétal. Soudain, une voie familière atteint vos oreilles à travers la haie.;Eines Morgens, als Ihr durch Euren Garten spaziert, beschließt Ihr, am Rande Eures Heckenlabyrinths Platz zu nehmen und eine Pause zu machen. Plötzlich hört Ihr eine vertraute Stimme von der anderen Seite des Labyrinths. ;;Una noche, mientras estas en un paseo por tus jardines, decides sentarte y descansar fuera de el laberinto de setos. De repente, se oye una voz familiar hablando en voz baja por el otro lado del seto.;;;;;;;;;x
casgar17opt;I wonder who that is... ;Je me demande qui est...;Ich frage mich, wer das ist …;;Me pregunto quién es ...;;;;;;;;;x
EVTDESCCASGAR19;Listening closely, you recognize [From.GetFirstName]'s voice! Even more surprising is [From.GetHerHis] conversation. It seems [From.GetSheHe] is planning to [From.GetPlot]. You quietly stand up and make your way back to the castle, mulling over this new information. ;En écoutant attentivement, vous reconnaissez la voie de [From.GetFirstName]. Son sujet de conversation est par contre surprenant. Il semble qu'[From.GetSheHe] prévoit de [From.GetPlot]. Vous vous éloignez doucement et rentrez au château, ressassant cette nouvelle information.;Als Ihr genauer zuhört, erkennt Ihr [From.GetFirstName]'s Stimme wieder. Überraschend ist allerdings, was [From.GetSheHe] zu bereden hat. Es scheint, als wolle [From.GetSheHe] [From.GetPlot]. Ihr steht leise auf und macht Euch auf den Weg zurück zu Eurer Burg, während Ihr über diese neuen Informationen nachdenkt.;;Escuchas de cerca y reconoces la voz de ¡[From.GetFirstName]! Aún más sorprendente es la conversación de [From.GetHerHis]. Parece que [From.GetSheHe] está planeando [From.GetPlot].Tranquilamente te pones de pie y continuas tu camino de regreso al castillo, dándole muchas vueltas a esta información.;;;;;;;;;x
casgar19opt;Interesting... ;Intéressant...;Höchst interessant …;;Interesante...;;;;;;;;;x
EVTDESCWINCEL4;The words of the Qur'an forbid the faithful to drink wine, yet you possess a cellar full of it in the castle. If you are to be obedient to the words of Allah, you must dispose of that which is haram and forbidden. ;Il est écrit dans le Coran qu'il est interdit de boire du vin, mais vous en possèdez une cave complète au château. Afin de vous soumettre à la parole d'Allah, vous devez disposez de ce qui est haram, interdit et illicite.;Der Qur'an verbietet es dem Gläubigen, Wein zu trinken, und dennoch ist der Keller Eurer Burg voll davon. Wenn Ihr den Worten Allahs gehorsam sein wollt, müsst Ihr Euch dessen, was verboten ist, entledigen.;;Las palabras del Corán prohíbe a los fieles beber vino, sin embargo posees un sótano lleno de este en el castillo. Si vas a ser obediente a las palabras de Allah, debes deshacerte de lo que es haram y esta prohibido.;;;;;;;;;x
wincel4opt1;Pour the wine into the streets!;Versez le vin sur le sol des rues !;Gießt den Wein in die Gosse.;;¡Verter el vino en las calles!.;;;;;;;;;x
wincel4opt2;It would be such a waste...;Ce serait un tel gâchis...;Es wäre eine solche Verschwendung …;;Sería un desperdicio ...;;;;;;;;;x
EVTDESCWINCEL5;The realm has fallen upon hard times and the treasury is empty, but the wine cellar is full of valuable vintages that have been collected by your predecessors. Although it would be a sign of your failure to manage your affairs, it would be possible to pay back a portion of your debt by selling your rarest wines. ;Le royaume vit des moments difficiles et le trésor est vide. Mais la cave est pleine de millésimes précieux rassemblés par vos prédecesseurs. Bien qu'il s'agirait d'un signe de votre incapacité à gérer vos affaires, il serait possible de rembourser une partie de la dette en vendant quelques-uns de vos précieux vins.;Schwere Zeiten sind für Euer Reich angebrochen, die Schatzkammer ist leer. Der Weinkeller ist allerdings voll von wertvollen Jahrgängen, die von Euren Vorgänger gesammelt wurden. Es wäre zwar eine Schande, doch wäre es möglich, einen Teil der Schulden durch den Verkauf von Teilen Eurers wertvollen Weins zurückzuzahlen.;;Los tiempos difíciles ha caido sobre el reino y la tesorería está vacía, pero la bodega está llena de cosechas valiosas que han sido recogidas por tus predecesores. Aunque sería un signo de tu incapacidad para gestionar el gobierno, sería posible pagar una porción de la deuda mediante la venta de los vinos más raros.;;;;;;;;;x
wincel5opt1;Never! ;Jamais !;Niemals!;;¡Nunca!.;;;;;;;;;x
wincel5opt2;It's for the best. ;C'est pour le mieux.;Es ist besser so.;;Es lo mejor..;;;;;;;;;x
EVTDESCWINCEL6;You have decided that now is the perfect time to hold a small feast to celebrate the current prosperity of the realm. Some of your most trusted vassals and members of the minor nobility have answered your invitation and gathered at the castle for a night of feasting and revelry. Once the food is served, you suddenly realize that you are a little short on wine. ;Vous avez décidé que c'était le moment idéal d'organiser une petite fête pour célébrer la prospérité actuelle du domaine. Certains de vos vassaux les plus fiables et des membres de la petite noblesse ont répondu à votre invitation et se rassemble au château pour une nuit de festins et de divertissements. Ce n'est qu'une fois la nourriture servie que vous réalisez que vous êtes un peu court sur le vin.;Ihr habt beschlossen, dass jetzt der richtige Zeitpunkt ist, um ein kleines Fest abzuhalten, um den aktuellen Wohlstand Eures Reiches zu feiern. Einige Eurer vertrautesten Vasallen und Mitglieder der niederen Adels haben Eure Einladung angenommen und haben sich auf Eurer Burg für eine Nacht des Feierns und der Festlichkeit versammelt. Als das Essen serviert wird, stellt Ihr plötzlich fest, dass Euer Weinvorrat knapper ist, als Ihr dachtet.;;Has decidido que ahora es el momento perfecto para celebrar una pequeña fiesta para celebrar la prosperidad actual del reino. Algunos de tus vasallos de más confianza y miembros de la pequeña nobleza han respondido a tu invitación y se reunieron en el castillo para una noche de fiesta y jolgorio. Una vez que la comida se sirve, de repente te das cuenta de que estas un poco corto de vino.;;;;;;;;;x
wincel6opt1;Let the wine flow! ;Que le vin coule à flot !;Wein für alle!;;¡Dejad que corra el vino!.;;;;;;;;;x
wincel6opt2;Serve only some, save the rest for another time. ;N'en servir qu'une partie, et garder le reste pour une autre occasion.;Tischt nur ein wenig Wein auf, und spart den Rest für eine andere Gelegenheit.;;¡Sirve sólo algunos, guardad el resto para otra ocasión¡..;;;;;;;;;x
EVTDESCWINCEL7;"The room erupts into cheers when your servants bring out cask after cask of wine. Caught up in the moment, you fill your flask to the brim and guzzle it down... and another... and another. The room starts to spin, but you keep drinking and laughing until you hear someone say something like ""drunken sot"". ";"La salle vibre sous les acclamations lorsque vos serviteurs apportent tonneau après tonneau de vin. Pris dans le moment, vous remplissez votre coupe à ras bord et engouffrez le tout dans votre gosier... puis une autre... et une autre. La salle commence à tourner, mais vous continuez à boire et à rire jusqu'à ce que vous entendiez quelqu'un dire quelque chose comme "ivrogne" ".;Der Raum bricht in Jubel aus, als Eure Knechte ein Fass Wein nach dem anderen hereinbringen. Ihr füllt Eure Becher bis zum Rande und kippt sie … einen nach dem anderen ... hinunter. Der Raum beginnt sich zu drehen, aber Ihr hört nicht auf zu trinken und zu lachen, bis Ihr jemanden etwas wie 'betrunkener Säufer' sagen hört.;;"La sala estalla en aplausos cuando sus siervos sirven barrica tras barrica de vino. Atrapado por el momento llenas tu vaso hasta el borde y lo bebes de un trago luego ...otra ... y otra. La sala comienza a girar, pero te mantienes bebiendo y riendo hasta que escuchas a alguien decir algo así como ""borracho,borracho"".";;;;;;;;;x
wincel7opt1;How -hic- rude! You give the order to imprison him.;Quel -hic- insolent ! Au cachot !;Wie -hicks- unverschämt. In den Kerken mit -hicks- ihm!;;¡Cómo -hic- grosero! Das la orden de encarcelarlo.;;;;;;;;;x
wincel7opt2;You grab your sword -hic- and challenge the offender to a duel. ;Vous saisissez votre épée -hic- et défiez l'offenseur en duel.;Ihr ergreif Euer Schwert und -hicks- fordert ein Duell.;;Agarras tu -hic- espada y desafías al delincuente a un duelo.;;;;;;;;;x
wincel7opt3;You decide to -hic- ignore him. ;Vous choisissez d'-hic-gnorer l'offense.;Ihr beschließt ihn zu -hicks- ignorieren.;;Decides -hic- ignorarlo.;;;;;;;;;x
EVTDESCWINCEL8;The room erupts into cheers when your servants bring out cask after cask of wine. Two of the nobles in particular seem especially enthusiastic, until in their drunkenness, they begin to insult each other's families. If you do not act soon, there may be blood on your hands. ;La salle vibre sous les acclamations alors que vos serviteurs apportent tonneau après tonneau de vin. Deux nobles en particulier semblent très enthousiastes, jusqu'à ce que dans l'ivresse, ils ne commencent à insulter la famille de l'autre. Si vous n'agissez pas rapidement, cela pourrait finir en bain de sang.;Der Raum bricht in Jubel aus, als Eure Knechte ein Fass Wein nach dem anderen hereinbringen. Zwei der Adeligen scheinen ganz besonders begeistert, bis sie völlig betrunken einander beleidigen. Wenn Ihr nicht rasch handelt, könnte dies blutig enden.;;La sala estalla en aplausos cuando tus siervos sirven barrica tras barrica de vino. Dos de los nobles, en particular, parecen especialmente entusiastas, hasta que en su embriaguez, comienzan a insultar a la familia del otro. Si no se actúa pronto, puede haber sangre en sus manos.;;;;;;;;;x
wincel8opt1;Calm them. ;Calmez-les.;Sie beruhigen.;;Calmarlos..;;;;;;;;;x
wincel8opt2;Command the guards to restrain them. ;Ordonnez aux gardes de les retenir.;Den Wachen befehlen, sie in Schranken zu halten.;;Manda a los guardias para contenerlos..;;;;;;;;;x
EVTDESCWINCEL9;Despite the slight interruption to the revelry, it would seem that the feast was a success. When you awake with your head pounding and a dry mouth the next morning, you smile knowing that it was truly a night to remember... even if you remember nothing at all. ;Malgré le léger incident lors des festivités, la fête semble avoir été une réussite. Le lendemain matin, malgré la tête douloureuse et la bouche sèche, vous souriez en sachant que cette soirée était inoubliable... même si vous n'en avez plus aucun souvenir.;Trotz der kleinen Unterbrechung der Festlichkeit, scheint es, als wäre das Gelage ein Erfolg gewesen. Als Ihr am nächsten Morgen mit hämmerndem Kopf und trockenem Mund erwacht, lächelt Ihr, in dem Wissen, das dies wahrlich eine erinernnswerte Nacht gewesen ist … auch wenn Ihr Euch selbst an rein gar nichts erinnern könnt.;;A pesar de la más mínima interrupción a la juerga, parece que la fiesta fue un éxito. Cuando te despiertas con dolor de cabeza y la boca seca a la mañana siguiente, sonries sabiendo que fue verdaderamente una noche para recordar ... incluso si no te acuerdas de nada en absoluto.;;;;;;;;;x
wincel9opt;What happened last night? ;Que s'est-il passé la nuit dernière ?;Was ist letzte Nacht geschehen?;;¿Qué pasó anoche?;;;;;;;;;x
EVTDESCWINCEL10;Despite your guards' best efforts, the men seem committed to throwing themselves at each other. One of them breaks free from the guard's grasp, but the momentum carries him forward and he falls headfirst, hitting his head on the stone floor. Closer inspection reveals he has been knocked unconscious. ;Malgré les efforts valeureux de vos gardes, les deux nobles semblent bien décidés à se jeter l'un sur l'autre. L'un d'eux se libère de la prise d'un garde, mais il perd l'équilibre dans son élan et tombe la tête la première sur le sol de pierre. Une inspection minutieuse révèle qu'il s'est assommé.;Trotz der Bemühungen Eurer Wachen scheinen die Männer entschlossen zu sein, sich gegenseitig an den Hals zu gehen. Einer von ihnen entreißt sich dem Griff der Wachen, allerdings lässt ihn der Schwung kopfüber zu Boden stürzen und mit dem Kopf auf dem Steinboden aufschlagen. Nähere Untersuchungen deuten darauf hin, dass er das Bewusstsein verloren hat.;;A pesar de los mejores esfuerzos de tus guardias, los hombres parecen comprometidos lanzándose insultos el uno al otro. Uno de ellos se escapa de las manos de la guardia, pero el impulso lo lleva hacia adelante y cae de cabeza, golpeandose contra el suelo de piedra. Una inspección más cercana revela que ha quedado inconsciente.;;;;;;;;;x
wincel10opt;Oh dear.;Bon Dieu !;Ach du meine Güte!;;Oh querido...;;;;;;;;;x
EVTDESCWINCEL11;Your guards inform you that a ragged-looking knight has arrived at your castle and asked for your hospitality. His story is that he no longer has a lord and is wandering the land in search of food and shelter, but it is always wise to be wary of strange men who appear out of nowhere. ;Vos gardes vous informe qu'un chevalier déguenillé est arrivé au château et a demandé l'hospitalité. Son histoire : il n'a plus de seigneur et erre à la recherche du gîte et du couvert. Cependant, il est toujours sage de se méfier des hommes étranges qui semblent surgir de nulle part.;Eure Wachen informieren Euch, dass ein zerlumpt aussehender Ritter an Eurer Burg eingetroffen ist und um Eure Gastfreundschaft bittet. Er berichtet, dass er keinen Lehnsherrn mehr hat und das Land auf der Suche nach Speise und Zuflucht durchstreift. Es ist immer weise, bei fremden Männern, die wie aus dem Nichts auftuchen, behutsam zu sein.;;Tus guardias te informan que un caballero andrajoso en busca de alojamiento acaba de llegar al castillo y ha preguntado por ti. Su historia es que él ya no tiene señor y está vagando por la tierra en busca de alimento y refugio, pero siempre es aconsejable tener cuidado con los hombres extraños que aparecen de la nada..;;;;;;;;;x
wincel11opt1;Welcome him. ;Accueillons-le.;Ihn wilkommen heißen.;;Darle la bienvenida.;;;;;;;;;x
wincel11opt2;Turn him away. ;Renvoyez-le.;Ihn wieder wegschicken.;;Evitarle.;;;;;;;;;x
EVTDESCWINCEL14;As a responsible host, you provide the knight with fresh clothes and invite him to sup with you and your court. [FromFrom.GetFirstName] regales you with colorful tales of his travels, much to the amusement of all present. You remark that he is so well-traveled that he could have seen the edge of the world, to which [From.GetFirstName] responds that the world has no edge. ;En qualité d'hôte, vous offrez au chevalier de nouveaux habits et l'invitez à souper avec vous et votre cour. [FromFrom.GetFirstName] vous régale avec les histoires colorées de ses voyages, au ravissement de tous ceux présents. Vous faîtes remarquer qu'il a si longtemps voyagé qu'il a pu voir le bout du monde, ce à quoi [From.GetFirstName] répond que le monde n'a pas de bord.;Als verantwortungsvoller Gastgeber, bieten Ihr dem Ritter frische Kleidung an und ladet ihn ein, mit Euch und zu Abend zu essen. [FromFrom.GetFirstName] verwöhnt Euch mit bewegenden Geschichten seiner Reisen, sehr zum Vergnügen der Anwesenden. Ihr stellt fest, dass er so weit gereist sein muss, dass er selbst das Ende der Welt gesehen haben könnte, worauf [Root.Spouse.GetFirstName] antwortet, dass die Welt keine Ende hat.;;Como anfitrión responsable, Proporcionas a el caballero ropa limpia y le invitas a cenar contigo y tu corte. [FromFrom.GetFirstName] te regala cuentos coloridos de sus viajes, para diversión de todos los presentes. Comentas que él ha viajado tanto que pudo haber visto el borde del mundo, a lo que [From.GetFirstName] responde que el mundo no tiene borde..;;;;;;;;;x
wincel14opt1;Shut up, woman! ;Tais-toi, femme !;Schweigt, Weib!;;¡Cállate, mujer!;;;;;;;;;x
wincel14opt2;Ah. Perhaps I am mistaken. ;Ah. Se pourrait-il que je me trompe ?;Nun, vielleicht liege ich falsch.;;Ah.. Tal vez me equivoco..;;;;;;;;;x
EVTDESCWINCEL16;[From.GetFirstName] gives you a strange look and tells you that [Root.Spouse.GetFirstName] is correct and that various proofs by the ancients have shown the Earth is indeed round. Seeing the look on your face, he decides not to continue with his proof. The table falls silent as it awaits your response. ;[From.GetFirstName] vous lance un regard étrange et vous affirme que [Root.Spouse.GetFirstName] est dans le vrai. Diverses preuves des anciens prouve que la Terre est ronde. Saississant l'expression de votre visage, il arrête là le débat. Le silence s'installe autour de la table, attendant votre réaction.;[From.GetFirstName] wirft Euch einen seltsamen Blick zu und sagt, dass [Root.Spouse.GetFirstName] recht hat, dass verschiedene Beweise von den Menschen der Antike andeuten, dass die Erde ist in der Tat rund ist. Euren Gesichtsausdruck bemerkend, beschließt er seine Ausführungen nicht weiter fortzusetzen. Der Tafelrunde verstummt, eure Eure Antwort erwartend.;;[From.GetFirstName] te dirije una extraña mirada y te dice que [Root.Spouse.GetFirstName] esta en lo correcto y que diversas pruebas antiguas demuestran que la tierra es redonda. Al ver la expresión de tu cara, él decide no continuar con su discurso. La mesa se queda en silencio, y todos esperan tu respuesta.;;;;;;;;;x
wincel16opt1;You are no longer welcome here. ;Vous n'êtes plus le bienvenu ici.;Ihr seid hier nicht mehr wilkommen.;;Usted ya no es bienvenido aquí..;;;;;;;;;x
wincel16opt2;I... suppose you are right. ;Je... suppose que vous avez raison.;Ich … denke Ihr habt recht.;;Yo ... supongo que tienes razón..;;;;;;;;;x
EVTDESCWINCEL18;The night ends on a more positive note, but [From.GetFirstName] refuses to even talk to you or look at you. Your guest has been rather silent as well, and you notice the looks of sympathy that he gives to [From.GetFirstName] throughout the night. At last, you dismiss everyone to bed and note with unease the anger on your wife's face. ;La nuit se termine sur une note plus positive, mais [From.GetFirstName] refuse maintenant de vous parler ou même regarder. Votre invité est également resté silencieux, mais vous avez remarqué les regards empreint de sympathie qu'il lance à [From.GetFirstName] toute la nuit. Au final, vous congédiez tout le monde pour la nuit et notez avec inquiétude le visage colérique de votre épouse.;Die Nacht endete doch noch erfreulich, [From.GetFirstName] jedoch weigert sich Euch anzusehen, geschweige denn mit Euch zu sprechen. Euer Gast war bisher sehr ruhig, und Euch fallen Blicke des Wohlwollens auf, die er [From.GetFirstName] über die Nacht zukommen lässt. Schlussendlich entlasst Ihr alle zu Ihren Gemächern und stellt mit Unbehagen den Zorn auf dem Gesicht Eurer Frau fest.;;La noche termina con una nota más positiva, pero [From.GetFirstName] se niega a hablarte , incluso mirarte. Tu huésped ha sido más bien silencioso, y has dado cuenta de las miradas de simpatía que dirije a [From.GetFirstName] durante toda la noche. Por fin, al despedir a todos a la cama ves con inquietud la ira en el rostro de tu esposa.;;;;;;;;;x
wincel18opt;No matter. I am the master of my own house. ;Peu m'importe. Je suis le maître de ma maison.;Egal. Ich bin der Herr in meinem Haus.;;No importa. Yo soy el dueño de mi propia casa.;;;;;;;;;x
EVTDESCWINCEL20;You have received disturbing news that you wife is with child, even though you have not slept with her since that knight arrived at your castle. It turns out that the child is his and they have been seeing each other behind your back! ;Vous avez reçu une nouvelle inquiétante : votre femme est enceinte alors que vous n'avez pas dormi avec elle depuis l'arrivée de ce chevalier en votre château. Il s'avère que l'enfant est de lui et qu'ils se voyaient dans votre dos !;Euch hat die bestürzende Kunde erreicht, dass Eure Frau schwanger ist, obwohl Ihr nicht mehr mit Ihr geschlafen habt, seitdem der fremde Ritter an Eurer Burg eingetroffen ist. Es stellt sich heraus, dass das Kind von ihm ist, und dass die beiden sich hinter Eurem Rücken getroffen haben.;;Has recibido noticias inquietantes que tu esposa está embarazada, a pesar de que no has dormido con ella desde que aquel caballero llegó a tu castillo. Resulta que el niño es suyo y que se han estado viendo a ¡tus espaldas!.;;;;;;;;;x
wincel20opt;Faithless whore! ;Catin infidèle !;Treulose Hure!;;¡Perra desleal!.;;;;;;;;;x
EVTDESCWINCEL22;As supper ends, [From.GetFirstName] pulls you aside to tell you that he admires your courage and nobility in admitting your mistake. It would seem that you have made a new friend and found a most loyal retainer. ;Alors que le souper se termine, [From.GetFirstName] vous prends à part pour vous faire part de son admiration pour votre courage et votre noblesse en admettant votre erreur. Il semble que vous vous soyez fait un nouvel ami et trouvé un serviteur des plus loyaux.;Als das Abendessen endet, zieht Euch [From.GetFirstName] beiseite, um Euch zu sagen, dass er Euren Mut und Anstand, Euren Fehler zuzugeben, sehr bewundert. Es scheint, als hättet Ihr einen neuen Freund und treuen Diener gefunden.;;La cena termina y [From.GetFirstName] habla contigo para decirte que él admira tu valentía y nobleza en admitir tu error. Parece que has hecho un nuevo amigo y un siervo muy leal.;;;;;;;;;x
wincel22opt;Virtue is its own reward. ;La vertu est sa propre récompense.;Die Tugend ist sich selbst Ihr Preis.;;La virtud es la propia recompensa..;;;;;;;;;x
EVTDESCSECPAS3;One day while wandering through the halls of your castle, you come across what seems to be a hidden door tucked behind a suit of armor. You push it open and look inside, but there are no lit torches to guide your way. ;Un jour, alors que vous errez dans les couloirs du château, vous tombez sur ce qui semble être une porte dérobée cachée derrière une armure. Vous y accédez, l'ouvrez, mais il n'y a aucune torche pour éclairer votre chemin.;Eines Tages, bei einem Spaziergang durch die Hallen der Burgs, stoßt Ihr auf etwas, was eine versteckte Tür hinter einer der Rüstungen zu sein scheint. Ihr stoßt sie auf und werft einen Blick hinein, doch sind darin keine brennenden Fackeln, die den Weg erhellen.;;Un día, mientras deambulabas por los pasillos de tu castillo, te encuentras con lo que parece ser una puerta escondida detrás de una vieja armadura . La empujas y al abrirse observas el interior, pero no hay antorchas encendidas para guiar tu camino.;;;;;;;;;x
secpas3opt1;I should go explore it!;Je devrais explorer cet endroit !;Ich sollte mir das näher ansehen.;;¡Debo ir a explorar!.;;;;;;;;;x
secpas3opt2;Dark places are scary and dangerous. ;Les lieux sombres sont effrayants et dangereux.;Dunkle Orte sind beängstigend und gefährlich.;;Los lugares oscuros dan miedo y son peligrosos.;;;;;;;;;x
EVTDESCSECPAS4;You manage to find a torch and begin wandering through the passages, but they all start looking the same. After redoubling your steps a few dozen times, you come to the realization that you are lost. Even worse, your torch is dying and you cannot find your way out. ;Vous parvenez à trouver une torche et commencez à déambuler dans les passages, mais il commence à tous se ressembler. Après être revenu sur vos pas une bonne dizaine de fois, vous réalisez que vous vous êtes perdu. Pire encore, votre torche se meurt et vous ne pouvez retrouvez votre chemin.;Ihr könnt eine Fackel auftreiben und beginnt damit, durch die Gänge zu wandern, jedoch sehen diese alle zum verwechseln ähnlich aus. Nachdem Ihr dutzende Male versucht, Euch zurechtzufinden, müsst Ihr feststellen, dass Ihr Euch verlaufen habt. Es kommt noch schlimmer, denn das Licht Eurer Fackel wird immer schwächer ...;;Te las arreglas para encontrar una antorcha y comienzas vagando por los pasajes, pero todos ellos parecen iguales. Después de redoblar tus pasos una docena de veces,llegas a la conclusión de que estás perdido. Lo que es peor, tu antorcha se está apagando y no se ve ninguna salida.;;;;;;;;;x
secpas4opt;Oh no!;Oh non !;Auch das noch!;;¡Oh no!;;;;;;;;;x
EVTDESCSECPAS5;Soon after you went missing, your guards began a frantic search for you throughout the castle, but it would be days before they finally found the passageway and carried you out. Without any food or water, you had fallen dangerously ill and may not recover. ;Peu de temps après votre disparition, les gardes ont commencé une recherche frénétique à travers le château. Mais il a fallu plus d'un jour pour qu'ils trouvent l'entrée du passage et ne vous en sortent. Sans eau ni nourriture, vous êtes tombé gravement malade et pourriez ne pas récupérer.;Schon bald nachdem man Euch vermisst hat, haben Eure Wachen eine verzweifelte Suche nach Euch in Eurer gesamten Burg begonnen. Doch es würde Tage dauern, bis sie den Durchgang finden und Euch heraushelfen könnten. Ohne Speis und Trank werden Eure Kräfte Euch sicher schnell verlassen ...;;Poco después de que te perdiste, tus guardias comenzaron una búsqueda frenética en todo el castillo, pero pasaron días antes de que finalmente encontraran el pasaje y te sacaran de allí. Sin comida ni agua,habías caído gravemente enfermo y puedes no recuperarte.;;;;;;;;;x
secpas5opt;It really was dark and dangerous. ;C'était vraiment sombre et dangereux.;Es war tatsächlich beängstigend und gefährlich.;;Realmente era oscuro y peligroso.;;;;;;;;;x
EVTDESCSECPAS6;You find yourself getting colder by the minute and it seems like no one is coming to save you. Exhausted, you close your eyes for a short nap... ;Le froid se saisit de vous à chaque minute qui passe et personne ne semble venir pour vous sauver. Épuisé, vous fermez les yeux pour une courte sieste...;Ihr bemerkt, wie Euch von Minute zu Minute kälter wird, und es scheint, als würde niemand kommen, um Euch zu retten. Entkräfted schließt Ihr Eure Augen …;;Te encuentras temblando de frío por momentos y parece que nadie va a venir a salvarte. Exhausto, cierras los ojos para una pequeña siesta ...;;;;;;;;;x
secpas6opt;Zzz... ;Zzz...;Zzz... ;;Zzz..;;;;;;;;;x
EVTDESCSECPAS7;Your unfortunate predecessor perished wandering the secret passageways within the castle and only now have you managed to recover the body. ;Votre infortuné prédécesseur a péri en errant dans les passages secrets du château et son corps vient seulement d'être récupéré.;Euer unglückseliger Vorgänger scheint bei einem Spaziergang durch die Geheimgänge der Burg umgekommen zu sein und Ihr habt erst jetzt seine sterblichen Überreste bergen können.;;Tu desafortunado predecesor ha perecido vagando por las pasadizos secretos dentro del castillo y sólo ahora te las has arreglado para recuperar el cuerpo..;;;;;;;;;x
secpas7opt1;Arrange for the remains to be interred quietly somewhere in the castle grounds. ;Prendre des dispositions pour que les restes soient discrètement enterrés quelque part sur les terres du château.;Die Überreste sang- und klanglos irgendwo auf dem Burggelände bestatten.;;Hacer arreglos para que los restos sean enterrados en silencio en algún lugar en los terrenos del castillo..;;;;;;;;;x
secpas7opt2;Arrange for a proper funeral and burial service to pay your final respects. ;Organiser des funérailles convenables et un service funéraire pour rendre un dernier hommage.;Eine angemessene Beerdigung durchführen um ihm die letzte Ehre zu erweisen.;;Hacer arreglos para un funeral y enterramiento adecuados para prestar tus últimos respetos..;;;;;;;;;x
secpas7opt2tooltip;This option available because you have built the §YChapel§!. ;Cette option est disponible car vous avez construit la §YChapelle§!.;Ihr habt diese Option, da Ihr eine §YKapelle§! gebaut habt.;;Esta opción esta disponible porque has construido la §YCapilla§!..;;;;;;;;;x
EVTDESCSECPAS8;Against better judgement, you have decided to hold a small feast. After the inevitable drunken brawl and revelling, you decide to take the secret passages back to your chambers to avoid having to talk to your guests. Suddenly, you hear a distinctly familiar voice whispering just outside the passageway. ;Contre meilleur jusgement, vous avez organisé une petite fête. Après les inévitables scènes d'ivrognes ou de débauches, vous prenez les passages secrets pour retourner dans votre chambre, mais surtout pour éviter de parler à vos invités. Soudain, vous entendez une voie familière chuchotant à votre passage.;Wider besseren Wissens, habt Ihr Euch dafür entschieden, ein kleines Gelage abzuhalten. Nach den unvermeidlichen versoffenen Schlägereien und Zechereien, entscheiden Ihr Euch, den Geheimgang zurück zu Eurem Gemach zu nutzen, um zu vermeiden, Euch mit Euren Gäste unterhalten zu müssen. Plötzlich hört Ihr eine eindeutig vertraute Stimme außerhalb des Durchganges flüstern.;;Contra todo juicio, has decidido celebrar una pequeña fiesta. Después de la pelea inevitable de borrachos y deleitándose, decides tomar los pasajes secretos de regreso a tus cámaras para evitar tener que hablar con los invitados. De repente, se oye una voz claramente familiar susurrando justo afuera de la vía de paso.;;;;;;;;;x
secpas8opt;Who could that be? ;Qui se trouve là ?;Wer könnte das bloß sein?;;¿Quién puede ser?;;;;;;;;;x
EVTDESCSECPAS10;You listen closely and are shocked to hear [From.GetTitledFirstName]'s voice. Even more shocking are the details of [From.GetHerHis] plan to [From.GetPlot]. You steal quietly away from the scene and contemplate what you will do with this information.;Vous écoutez attentivement et êtes choqué non seulement d'entendre la voix de [From.GetTitledFirstName], mais surtout les détails de son plan pour [From.GetPlot]. Vous vous éloignez discrètement des lieux et réfléchissez à ce que vous allez faire de cette information.;;Ihr hört angestrengt zu und seid schockiert, als Ihr die Stimme von [From.GetTitledFirstName] erkennen könnt. Noch erschütternder ist allerdings, was  [From.GetTitledFirstName] zu tun gedenkt … er will [From.GetPlot]. Ihr schleicht Euch still und heimlich davon und überlegt, was Ihr mit diesen Informationen zu tun gedenkt.;;Escuchas con atención y te sorprendes al escuchar la voz de [From.GetTitledFirstName]. Aún más sorprendente son los detalles de el plan de [From.GetHerHis] para [From.GetPlot]. Te vas tranquilamente lejos de la escena contemplando que es lo que vas a hacer con esa información..;;;;;;;;;x
