#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### RELIGIOUS EVENTS ###
# FIRST RAVEN EVENTS #
EVTTITLE_ROBMODNORSE_00041;The Godslaws;Les lois des Dieux;Die Gesetze der Götter;;Las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
EVTOPTA_ROBMODNORSE_00032;Did the God of war and combat truly fight at my side?;Le dieu de la guerre et du combat se battait-il réellement à mes côtés?;Hat der Gott des Krieges und des Kampfes wirklich an meiner Seite gekämpft?;;¿El Dios de la guerra y el combate lucharon verdaderamente a mi lado?;;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_00032;Convene a council of Goðis, volur and other wisefolk to look into the matter;Convoquer un conseil de Goðis, Volur et d'autres personnes sages pour examiner la question;Einen Rat von Goðis, Volur und anderen Weisen einmischen, um die Sache zu betrachten;;Convocar a un consejo de Goðis, volur y otros sabios para estudiar el asunto;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00032;Don't be absurd, we must find this hero and reward him.;Ne soyez pas absurde, nous devons trouver ce héro et le récompenser.;Sei nicht absurd, wir müssen diesen Helden finden und ihn belohnen.;;No seas absurdo, debemos encontrar a este héroe y recompensarlo.;;;;;;;;;x
EVTTOOLTIPB_ROBMODNORSE_00032;Search instead for a more temporal explanation;Recherchez plutôt une explication plus temporelle;Suchen Sie stattdessen eine zeitlichere Erklärung;;Busca en cambio una explicación más temporal;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00030;A council of the finest religious minds in [Root.PrimaryTitle.GetBaseName] have met to discuss the possible appearance of the God Týr in your recent battle. After speaking with witnesses and taking testimony from you, they have determined that it was indeed the God of war who fought alongside you, and they are therefore certain your war has the blessing of the Gods.;Un conseil des meilleurs esprits religieux dans [Root.PrimaryTitle.GetBaseName] s'est réuni pour discuter de l'apparition possible de God Týr dans votre récente bataille. Après avoir parlé avec des témoins et leur témoignage, ils ont déterminé que c'était bien le Dieu de guerre qui a combattu à côté de vous, et ils sont donc certains que votre guerre a la bénédiction des dieux.;Ein Rat der feinsten religiösen Köpfe in [Root.PrimaryTitle.GetBaseName] hat sich getroffen, um die mögliche Erscheinung des Gottes Týr in deiner letzten Schlacht zu besprechen. Nachdem wir mit Zeugen gesprochen und Zeugnis von dir gemacht haben, haben sie festgestellt, dass es tatsächlich der Gott des Krieges war, der neben dir gekämpft hat, und sie sind also sicher, dass dein Krieg den Segen der Götter hat.;;Un consejo de las mejores mentes religiosas en [Root.PrimaryTitle.GetBaseName] se han reunido para discutir la posible aparición del Dios Týr en su reciente batalla. Después de hablar con los testigos y de tomar testimonio de ustedes, han determinado que era realmente el Dios de la guerra que luchó junto a ustedes, y por lo tanto están seguros de que su guerra tiene la bendición de los Dioses.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00030;Incredible!;Incroyable!;Unglaublich!;;¡Increíble!;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00030;Your men will fight all the harder, certain that they will be rewarded for their efforts in Valhalla;Vos hommes se battront plus fort, certain qu'ils seront récompensés pour leurs efforts à Valhalla;Ihre Männer werden um so härter kämpfen, sicher, dass sie für ihre Bemühungen in Valhalla belohnt werden;;Sus hombres lucharán con más fuerza, seguros de que serán recompensados por sus esfuerzos en Valhalla;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00031;As is usually the case, the truth of your recent escape on the battlefield is a little more mundane than the superstitious soldiers had imagined. After searching through your ranks, eyewitnesses recognise [robmod_norse_not_tyr.GetFullName] as the man who saved you, and although one-handed he is evidently no God. It turns out he only didn't come forward because he is wanted for murder!;Comme c'est habituellement le cas, la vérité de votre évasion récente sur le champ de bataille est un peu plus banale que les hommes superstitieux pensaient. Après avoir parcouru vos rangs, les témoins oculaires reconnaissent [From.GetFullName] comme l'homme qui vous a sauvé, et il n'est évidemment pas un dieu. Il s'avère qu'il ne s'est pas présenté parce qu'il est recherché pour meurtre!;Wie es gewöhnlich der Fall ist, ist die Wahrheit deiner jüngsten Flucht auf dem Schlachtfeld ein wenig bunter, als die abergläubischen Männer dachten. Nach dem Durchsuchen deiner Reihen erkennen die Augenzeugen [From.GetFullName] als den Mann, der dich gerettet hat, und er ist offenbar kein Gott. Es stellt sich heraus, dass er nur nicht vorwärts kam, weil er für Mord gesucht wird!;;Como suele ser el caso, la verdad de tu reciente escape en el campo de batalla es un poco más mundana de lo que pensaban los hombres supersticiosos. Después de buscar a través de sus filas, los testigos de la vista reconocen [From.GetFullName] como el hombre que te salvó, y él evidentemente no es Dios. Resulta que sólo no se presentó porque es buscado por asesinato.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00031;Your bravery has earned a pardon, [robmod_norse_not_tyr.GetFirstName]..;Il est pardonné pour sa bravoure.;Er wird für seine Tapferkeit begnadigt.;;Es perdonado por su valentía.;;;;;;;;;x
# LOKI #
EVTDESC_ROBMODNORSE_00033;Recently, strange happenings have beset your hall. Torches blown out inexplicably, prize cuts of meat spoiled overnight, and a thrall’s child has disappeared. All of this can be ignored, but today you find some of your most prized artifacts are missing! Your Volva [robmodnorse_volva.GetFirstName] believes the trickster God Loki is toying with you, and urges you to abandon the search lest you become ensnared in His diabolical games.;Récemment, des événements étranges ont eu lieu dans votre salle. Les torches ont explosé inexplicablement, les coupes de viande gâtées pendant la nuit, et l'enfant d'un esclave a disparu. Tout cela peut être ignoré, mais aujourd'hui vous trouvez que votre [robmodnorse_stolen_artifact.GetName] est manquant! Votre Volva [robmodnorse_volva.GetFirstName] croit que le créduleur que Dieu Loki traverse avec vous, et vous invite à abandonner la recherche, afin que vous ne sois pas pris dans ses jeux diaboliques.;In letzter Zeit sind seltsame Ereignisse in deiner Halle passiert. Fackeln, die unerklärlich ausgesprengt wurden, verkürzte Fleischstücke, die über Nacht verdorben wurden, und ein Kind des Kindes ist verschwunden. All dies kann ignoriert werden, aber heute finden Sie Ihre [robmodnorse_stolen_artifact.GetName] fehlt! Dein Volva [robmodnorse_volva.GetFirstName] glaubt, dass der Trickster Gott Loki mit dir spielt und drängt dich, die Suche aufzugeben, damit du nicht in seinen teuflischen Spielen verstrickt bist.;;Recientemente, acontecimientos extraños han estado sucediendo en su pasillo. Las antorchas soplaron inexplicablemente, los cortes premiados de la carne estropearon durante la noche, y el niño de un esclavo ha desaparecido. Todo esto puede ser ignorado, pero hoy en día encuentra que su [robmodnorse_stolen_artifact.GetName] falta! Su Volva [robmodnorse_volva.GetFirstName] cree que el trickster Dios Loki está jugando con usted, y le insta a abandonar la búsqueda para que no se enreden en sus juegos diabólicos.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00033;I will not give it up so easily!;Je n'abandonnerai pas mon [robmodnorse_stolen_artifact.GetName]!;Ich werde nicht aufgeben mein [robmodnorse_stolen_artifact.GetName]!;;No voy a renunciar a mi [robmodnorse_stolen_artifact.GetName]!;;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_00033;Order a full search for the missing item;Commander une recherche complète pour l'élément manquant;Bestellen Sie eine vollständige Suche nach dem fehlenden Gegenstand;;Ordenar una búsqueda completa para el artículo que falta;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00033;Very well [robmodnorse_volva.GetFirstName], I will not meddle.;Très bien [robmodnorse_volva.GetFirstName], je ne me mêlerai pas.;Sehr gut [robmodnorse_volva.GetFirstName], ich werde mich nicht einmischen.;;Muy bien [robmodnorse_volva.GetFirstName], no me meteré.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00034;You are called to a mysterious old grove a few miles from your hall, where one your artifacts has been found. Two dead thralls lie nearby, and you are told that when the first picked up the item, he was consumed by blood rage and killed the second, before turning his knife on himself. Your Volva [robmodnorse_volva.GetFirstName] runs up and breathlessly beseeches you not to touch it – [robmodnorse_volva.GetSheHe] is certain the curse of Loki is upon it. Instead, [robmodnorse_volva.GetSheHe] would like to perform a cleansing ceremony, which will remove the curse but could destroy the article.;Vous êtes appelé à un mystérieux vieux bosquet à environ un mille de votre salle, où votre [robmodnorse_stolen_artifact.GetName] a été trouvé. Deux égarements morts sont à proximité, et on vous dit que lorsque le premier a ramassé l'objet, il a été consommé par la rage du sang et a tué le second, avant de mettre son couteau sur lui-même. Votre [robmodnorse_volva.GetFirstName] se lève et vous prie de ne pas toucher le [robmodnorse_stolen_artifact.GetName] - [robmodnorse_volva.GetSheHe] est certain que la malédiction de Loki est sur elle. Au lieu de cela, [robmodnorse_volva.GetSheHe] aimerait effectuer une cérémonie de nettoyage, qui supprimera la malédiction mais pourrait détruire l'article.;Sie sind zu einem geheimnisvollen alten Hain um eine Meile von Ihrem Saal gerufen, wo Ihr [robmodnorse_stolen_artifact.GetName] gefunden wurde. Zwei tote Threads liegen in der Nähe, und Ihnen wird gesagt, dass, als der erste den Gegenstand abholte, er von der Blutwut verzehrt und die zweite getötet wurde, bevor er sein Messer auf sich selbst verwandelte. Ihr [robmodnorse_volva.GetFirstName] läuft auf und atemlos bügt euch an, den [robmodnorse_stolen_artifact.GetName] - [robmodnorse_volva.GetSheHe] nicht zu berühren, ist sicher, dass der Fluch von Loki darauf ist. Stattdessen möchte [robmodnorse_volva.GetSheHe] eine Reinigungszeremonie durchführen, die den Fluch entfernen wird, aber den Artikel zerstören könnte.;;Usted está llamado a un bosque misterioso viejo alrededor de una milla de su sala, donde su [robmodnorse_stolen_artifact.GetName] se ha encontrado. Dos esclavos muertos se encuentran cerca, y se le dice que cuando el primero recogió el artículo, fue consumido por la ira de la sangre y mató a la segunda, antes de girar su cuchillo sobre sí mismo. Su [robmodnorse_volva.GetFirstName] se ejecuta y sin aliento le suplica que no toque el [robmodnorse_stolen_artifact.GetName] - [robmodnorse_volva.GetSheHe] está seguro de la maldición de Loki está sobre él. En su lugar, [robmodnorse_volva.GetSheHe] le gustaría realizar una ceremonia de limpieza, que eliminará la maldición, pero podría destruir el artículo.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00034;I retreat from no-one, God or no.;Je ne me retire de personne, Dieu ou non.;Ich ziehe mich von niemandem zurück, Gott oder nein.;;No me retiro de nadie, Dios o no.;;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_00034;Take back the artifact;Reprenez le [robmodnorse_stolen_artifact.GetName];Nimm den [robmodnorse_stolen_artifact.GetName] zurück;;Retirar el [robmodnorse_stolen_artifact.GetName];;;;;;;;;x,,,,,,,,,,
EVTTOOLTIPA_ROBMODNORSE_00034_01;becoming possessed by Loki!;devenant possédé par Loki!;von Loki besessen werden!;;siendo poseído por Loki!;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIPA_ROBMODNORSE_00034_02;resisting the possession;résister à la possession;dem Besitz widerstehen;;resistiendo la posesión;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00034;Very well [robmodnorse_volva.GetFirstName], perform your ceremony.;Très bien [robmodnorse_volva.GetFirstName], effectuez votre cérémonie.;Sehr gut [robmodnorse_volva.GetFirstName], führen Sie Ihre Zeremonie durch.;;Muy bien [robmodnorse_volva.GetFirstName], realice su ceremonia.;;;;;;;;;x
EVTTOOLTIPB_ROBMODNORSE_00034;[robmodnorse_volva.GetFirstName] carries out the cleansing;[robmodnorse_volva.GetFirstName] effectue le nettoyage;[robmodnorse_volva.GetFirstName] führt die Reinigung durch;;[robmodnorse_volva.GetFirstName] lleva a cabo la limpieza;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIPB_ROBMODNORSE_00034_01;Loki being banished from your halls, but the article is destroyed;Loki étant banni de vos salles, mais l'article est détruit;Loki wird aus deinen Hallen verbannt, aber der Artikel ist zerstört;;Loki siendo desterrado de sus salas, pero el artículo es destruido;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIPB_ROBMODNORSE_00034_02;Loki being banished from your halls, and the article is saved;Loki étant banni de vos salles, et l'article est sauvegardé;Loki wird aus deinen Hallen verbannt, und der Artikel wird gerettet;;Loki siendo desterrado de sus salas, y el artículo se guarda;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00035_POS;The assemblage holds its breath as you reach for the item. As you grasp it, a deep laughter resounds around the grove, and a red mist descends on your vision. Without thought, you pull out a dagger and run at [robmodnorse_volva.GetFirstName], but are restrained. Later, you awake with no memory of the day’s events, but a strange laughter echoes in your mind.;L'assemblage prend son souffle lorsque vous atteignez votre [robmodnorse_stolen_artifact.GetName]. Au fur et à mesure que vous le saisissez, un profond rire résonne autour du bosquet, et une brume rouge descend sur votre vision. Sans penser, vous retirez un poignard et courez à [robmodnorse_volva.GetFirstName], mais sont retenus. Plus tard, vous vous réveillez sans souvenir des évènements du jour, mais un étrange rire fait écho dans votre esprit.;Die Assemblage hält den Atem, wie du für deinen [robmodnorse_stolen_artifact.GetName] greifst. Wie du es erfassst, klingt ein tiefes Lachen um den Hain herum, und ein roter Nebel steigt auf deiner Vision. Ohne Gedanken, ziehst du einen Dolch und laufe an [robmodnorse_volva.GetFirstName], aber bist zurückhaltend. Später wachst du ohne Erinnerung an die Ereignisse des Tages, aber ein seltsames Lachen hallt in deinem Kopf.;;El ensamblaje sostiene su respiración mientras que usted alcanza para su [robmodnorse_stolen_artifact.GetName]. A medida que lo agarras, una profunda risa resuena alrededor de la arboleda, y una neblina roja desciende sobre tu visión. Sin pensarlo, sacas una daga y corres en [robmodnorse_volva.GetFirstName], pero estás restringido. Más tarde, despiertas sin recordar los acontecimientos del día, pero una extraña risa se hace eco en tu mente.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00035_NOTPOS;The assemblage holds its breath as you pick up the item. A deep laughter resounds around the grove, and you collapse. Later, you awake with no memory of the day’s events, but [robmodnorse_volva.GetFirstName] tells how you narrowly avoided possession by Loki.;L'assemblage retient son souffle lorsque vous récupérez votre [robmodnorse_stolen_artifact.GetName]. Un profond rire résonne autour du bosquet, et vous vous effondrez. Plus tard, vous vous réveillez sans souvenir des évènements de la journée, mais [robmodnorse_volva.GetFirstName] vous explique comment vous avez évité la possession par Loki.;Die Assemblage hält den Atem, während du deinen [robmodnorse_stolen_artifact.GetName] abholst. Ein tiefes Lachen hallt um den Hain herum, und du kollabierst. Später wachst du ohne Erinnerung an die Ereignisse des Tages, aber [robmodnorse_volva.GetFirstName] erzählt, wie du den Besitz von Loki eng vermieden hast.;;El conjunto sostiene su aliento mientras recoge su [robmodnorse_stolen_artifact.GetName]. Una profunda risa resuena alrededor del bosque, y te derrumbas. Más tarde, se despierta sin recordar los acontecimientos del día, pero [robmodnorse_volva.GetFirstName] cuenta cómo evitó estrechamente la posesión de Loki.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00035_ARTDEST;Your Volva commands your thralls to build a pyre in front of the cursed artifact and as the flames grow higher [robmodnorse_volva.GetSheHe] begins to wail. Your entourage gasps as a face takes shape above the item, writhing in pain. As it is drawn towards the flame, the article shatters into a thousand pieces!;Votre Volva commande vos éperons pour construire un pyre devant l'artefact maudit et à mesure que les flammes augmentent [robmodnorse_volva.GetSheHe] commence à se plaindre. Votre entourage respire comme un visage prend forme au-dessus de l'objet, se tordant de douleur. Comme il est dessiné vers la flamme, l'article se brise en mille pièces!;Dein Volva befiehlt deinem Schatz, einen Scheiterhaufen vor dem verfluchten Artefakt zu bauen und da die Flammen höher werden [robmodnorse_volva.GetSheHe] beginnt zu heulen. Ihr Gefolge keucht, wie ein Gesicht Gestalt über dem Gegenstand nimmt und sich vor Schmerzen krümmt. Als es auf die Flamme gezogen wird, zerbricht der Artikel in tausend Stücke!;;Su Volva ordena a sus esclavos para construir una pira delante del artefacto maldito y como las llamas crecen más alto [robmodnorse_volva.GetSheHe] comienza a lamentar. Su séquito jadea cuando una cara toma forma sobre el artículo, retorciéndose en dolor. ¡Mientras que se dibuja hacia la llama, el artículo se rompe en mil pedazos!;;;;;;;;;x
EVTDESC_ROBMODNORSE_00035_ARTSAVED;Your Volva commands your thralls to build a pyre in front of the cursed artifact and as the flames grow higher [robmodnorse_volva.GetSheHe] begins to wail. Your entourage gasps as a face takes shape above the item, writhing in pain. The spirit is drawn towards the flames and disappears, leaving your article safely behind.;Votre Volva commande vos éperons pour construire un pyre devant l'artefact maudit et à mesure que les flammes augmentent [robmodnorse_volva.GetSheHe] commence à se plaindre. Votre entourage respire comme un visage prend forme au-dessus de l'objet, se tordant de douleur. L'esprit est attiré vers les flammes et disparaît, laissant votre article en sûreté derrière.;Dein Volva befiehlt deinem Schatz, einen Scheiterhaufen vor dem verfluchten Artefakt zu bauen und da die Flammen höher werden [robmodnorse_volva.GetSheHe] beginnt zu heulen. Ihr Gefolge keucht, wie ein Gesicht Gestalt über dem Gegenstand nimmt und sich vor Schmerzen krümmt. Der Geist ist in Richtung der Flammen gezogen und verschwindet, so dass Ihr Artikel sicher hinter sich lässt.;;Su Volva ordena a sus esclavos para construir una pira delante del artefacto maldito y como las llamas crecen más alto [robmodnorse_volva.GetSheHe] comienza a lamentar. Su séquito jadea cuando una cara toma forma sobre el artículo, retorciéndose en dolor. El espíritu es atraído hacia las llamas y desaparece, dejando su artículo con seguridad detrás.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00035_POS;Mwahaha!;<<Rire diabolique>>;(Böses Lachen);;(Risa malvada);;;;;;;;;x
EVTOPTA_ROBMODNORSE_00035_NOTPOS;Thank the Gods that's over!;Remercie les dieux qui finissent!;Danke den Göttern, das ist vorbei!;;¡Gracias a los dioses que se acabaron!;;;;;;;;;x
# FREYR #
EVTDESC_ROBMODNORSE_00099;Most occasions you're in the marital bed with your wife [Root.Spouse.GetFirstName], you do your duty to produce little [Root.GetOnlyDynastyName]s, but little more. Tonight, however, you feel more virile than ever you have before, and do things you've never done before. [Root.Spouse.GetFirstName]'s cries of passion echo around your halls, and afterwards she turns to you and says "My Lord, that was amazing!".;La plupart du temps, vous êtes dans le lit conjugal avec votre femme [Root.Spouse.GetFirstName], vous faites votre devoir de produire peu [Root.GetOnlyDynastyName] s, mais un peu plus. Ce soir, cependant, vous vous sentez plus viril que jamais, et faites des choses que vous n'avez jamais faites auparavant. Les cris de passion de votre femme font écho autour de vos salles, puis elle se tourne vers vous et dit: «Mon Seigneur, c'était incroyable!».;Die meisten Anlässe du bist im Ehebett mit deiner Frau [Root.Spouse.GetFirstName], du machst deine Pflicht, kleine [Root.GetOnlyDynastyName] s zu produzieren, aber wenig mehr. Heute Abend aber fühlst du dich mehr männlich als je zuvor, und Dinge, die du noch nie gemacht hast. Die Schreie deiner Frau schreit um deine Hallen herum, und danach wendet sie sich an dich und sagt: "Mein Herr, das war erstaunlich!".;;La mayoría de las ocasiones en las que estás en la cama matrimonial con tu esposa [Root.Spouse.GetFirstName], haces tu deber de producir poco [Root.GetOnlyDynastyName] s, pero poco más. Esta noche, sin embargo, te sientes más viril que nunca antes, y haces cosas que nunca has hecho antes. Los gritos de pasión de tu esposa se hacen eco de tus salones, y luego se vuelve hacia ti y dice: "¡Señor, eso fue increíble!".;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00099;It was pretty good, wasn't it?;C'était plutôt bien, n'est-ce pas?;Es war ziemlich gut, nicht wahr?;;Fue bastante bueno, ¿no?;;;;;;;;;x
EVTDESC_ROBMODNORSE_00037;It transpires that your whole court overheard your wife from your chambers last night. Your Volva [robmodnorse_volva.GetFirstName] - never one to avoid taboos - broaches the subject directly, much to the giggles of the Ladies of court. [robmodnorse_volva.GetSheHeCap] claims she can feel the blessing of Freyr upon you, and suggests you convene a council to look into your sudden 'valour'.;Il s'avère que toute votre cour a entendu votre femme dans votre chambre hier soir. Votre Volva [robmodnorse_volva.GetFirstName] - jamais un pour éviter les tabous - aborder directement le sujet, beaucoup aux rires des Ladies of Court. [robmodnorse_volva.GetSheHeCap] prétend qu'elle peut sentir la bénédiction de Freyr sur vous, et vous suggère de convoquer un conseil pour examiner votre virilité soudaine.;Es stellt sich heraus, dass dein ganzer Hof deine Frau von deiner Kammer gestern abhörte. Dein Volva [robmodnorse_volva.GetFirstName] - niemals, um Tabus zu vermeiden - holt das Thema direkt, viel zu den Gekicher der Ladies of Court. [robmodnorse_volva.GetSheHeCap] behauptet, dass sie den Segen von Freyr auf dich spüren kann, und schlägt vor, dass Sie einen Rat einberufen, um in Ihre plötzliche Männlichkeit zu schauen.;;Se da cuenta de que toda tu corte oyó a tu esposa de tus aposentos anoche. Su Volva - nunca uno para evitar los tabúes - aborda el tema directamente, mucho a las risas de las Damas de la corte. [robmodnorse_volva.GetSheHeCap] afirma que puede sentir la bendición de Freyr sobre usted, y sugiere que convocar a un consejo para examinar su repentina virilidad.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00037;Am I truly touched by the God of virility?;Est-ce que je suis vraiment touché par le dieu de la virilité?;Bin ich wirklich von dem Gott der Männlichkeit berührt?;;¿Estoy verdaderamente tocado por el Dios de la virilidad?;;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_00037;Convene a council of Goðis, volur and other wisefolk to look into the matter;Convoquer un conseil de Goðis, Volur et d'autres personnes sages pour examiner la question;Einen Rat von Goðis, Volur und anderen Weisen einmischen, um die Sache zu betrachten;;Convocar a un consejo de Goðis, volur y otros sabios para estudiar el asunto;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00035;*Blush* This is a private matter!;*Rougir* C'est une affaire privée!;*Erröten* Das ist eine private Angelegenheit!;;*Sonrojo* ¡Esto es un asunto privado!;;;;;;;;;x
EVTTOOLTIPB_ROBMODNORSE_00037;Put the matter to bed. So to speak...;Mettez le sujet au lit. Pour ainsi dire...;Setzen Sie die Sache ins Bett. Sozusagen...;;Ponga el asunto a la cama. Por así decirlo...;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00036;A council of the finest religious minds in [Root.PrimaryTitle.GetBaseName] have met to discuss your increased libido. After speaking with your wife [Root.Spouse.GetFirstName] and taking testimony from you, they have determined that you are indeed blessed by the Lord Freyr, God of virility and prosperity.;Un conseil des meilleurs esprits religieux dans [Root.PrimaryTitle.GetBaseName] s'est réuni pour discuter de votre libido accrue. Après avoir parlé avec votre épouse [Root.Spouse.GetFirstName] et vous témoigner, vous avez déterminé que vous êtes vraiment bénis par le Seigneur Freyr, Dieu de la virilité et de la prospérité.;Ein Rat der feinsten religiösen Köpfe in [Root.PrimaryTitle.GetBaseName] hat sich getroffen, um deine erhöhte Libido zu besprechen. Nach dem Sprechen mit deiner Frau [Root.Spouse.GetFirstName] und Zeugnis von dir, haben sie bestimmt, dass du in der Tat von dem Herrn Freyr, Gott der Männlichkeit und des Wohlstands gesegnet bist.;;Un consejo de las mentes religiosas más finas en [Root.PrimaryTitle.GetBaseName] se ha reunido para discutir su aumento de libido. Después de hablar con su esposa [Root.Spouse.GetFirstName] y de tomar testimonio de usted, han determinado que usted está realmente bendecido por el Señor Freyr, Dios de virilidad y prosperidad.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00036;I always knew I was special in the bedroom department!;J'ai toujours su que j'étais spécial dans le département de la chambre!;Ich wusste immer, dass ich in der Schlafzimmerabteilung besonders war!;;Siempre supe que era especial en el departamento de dormitorio!;;;;;;;;;x
# OATHSMAN / SISTER RETURNS FROM TRU-HOLL #
EVTDESC_ROBMODNORSE_00005_01;Your clansman [From.GetFullName] has returned from the Eiðrhöll (Hall of Oaths), one-eyed and dressed all in black. He has completed the Trials of Thor and become a fully-fledged Eiðmaðr (Oathsman). [From.GetFirstName] now stands ready to defend Miðgarðr – the realms of the faithful – against infidels and heretics, assured of his resting place in Valhalla.;Votre clan-homme [From.GetFullName] est revenu de l'Eiðrhöll (Hall of Oaths), aux yeux unis et habillé en noir. Il a terminé les Essais de Thor et devient un Eiðmaðr à part entière (homme assermenté). [From.GetFirstName] est maintenant prêt à défendre Miðgarðr - les domaines des fidèles - contre les infidèles et les hérétiques, assuré de son lieu de repos à Valhalla.;Ihr Clans-Mann [From.GetFullName] ist von der Eiðrhöll (Hall of Oaths) zurückgekehrt, einäugig und ganz in schwarz gekleidet. Er hat die Prüfungen von Thor abgeschlossen und ein vollwertiger Eiðmaðr (Eidmann) geworden. [From.GetFirstName] steht nun bereit, Miðgarðr - die Reiche der Gläubigen - gegen Ungläubige und Ketzer zu verteidigen, versichert von seinem Ruhestätte in Valhalla.;;Su clansman [From.GetFullName] ha regresado del Eiðrhöll (Salón de Juramentos), con los ojos cerrados y vestido todo de negro. Ha completado los Juicios de Thor y se ha convertido en un verdadero Eiðmaðr (hombre jurado). [From.GetFirstName] ahora está listo para defender Miðgarðr - los reinos de los fieles - contra infieles y herejes, asegurado de su lugar de descanso en Valhalla.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00005_02;Your son [From.GetFirstName] has returned from the Eiðrhöll (Hall of Oaths), one-eyed and dressed all in black. He has completed the Trials of Thor and become a fully-fledged Eiðmaðr (Oathsman). [From.GetFirstName] now stands ready to defend Miðgarðr – the realms of the faithful – against infidels and heretics, assured of his resting place in Valhalla. A glorious day for House [Root.GetOnlyDynastyName]!;Votre fils [From.GetFirstName] est revenu de l'Eiðrhöll (Temple des serments), aux yeux unis et habillé en noir. Il a terminé les Essais de Thor et devient un Eiðmaðr à part entière (homme assermenté). [From.GetFirstName] est maintenant prêt à défendre Miðgarðr - les domaines des fidèles - contre les infidèles et les hérétiques, assuré de son lieu de repos à Valhalla. Un jour glorieux pour House [Root.GetOnlyDynastyName]!;Dein Sohn [From.GetFirstName] ist von der Eiðrhöll (Hall of Oaths) zurückgekehrt, einäugig und gekleidet in schwarz. Er hat die Prüfungen von Thor abgeschlossen und ein vollwertiger Eiðmenn (Eidmann) geworden. [From.GetFirstName] steht nun bereit, Miðgarðr - die Reiche der Gläubigen - gegen Ungläubige und Ketzer zu verteidigen, versichert von seinem Ruhestätte in Valhalla. Ein herrlicher Tag für Haus [Root.GetOnlyDynastyName]!;;Su hijo [From.GetFirstName] ha regresado del Eiðrhöll (Salón de Juramentos), con los ojos abiertos y vestido de negro. Ha completado los Juicios de Thor y se ha convertido en un verdadero Eiðmenn (hombre jurado). [From.GetFirstName] ahora está listo para defender Miðgarðr - los reinos de los fieles - contra infieles y herejes, asegurado de su lugar de descanso en Valhalla. Un día glorioso para la casa [Root.GetOnlyDynastyName]!;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00005;“I am proud of you, [From.GetFirstName]!”;"Je suis fier de vous, [From.GetFirstName]!";"Ich bin stolz auf dich, [From.GetFirstName]!";;"Estoy orgulloso de ti, [From.GetFirstName]!";;;;;;;;;x,,,,,,,,,,
