#BUILDINGS;;;;;
ca_medical_1;Herbalist's Quarters;Herboristerie;Quartier des Kräuterarztes;;Boticario;;;;;;;;;x
EVTDESCMEDPER16;The physician has arrived and has begun preparing the necessary potions. You wait anxiously as he works, praying that [Root.Religion.GetRandomGodName] will have mercy. Finally, the physician informs you that he will do all he can, but [From.GetFirstName] will still most likely die. ;À son arrivée, le médecin s'est mis à préparer les potions. Vous attendez anxieux pendant ce temps, priant [Root.Religion.GetRandomGodName] pour son indulgence. Lorsqu'il sort, le médecin vous informe qu'il a fait ce qu'il pouvait, mais [From.GetFirstName] a de fortes chances de mourir.;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Tränke begonnen. Ihr wartet gespannt, als er mit der Behandlung beginnt, und betet still, dass [Root.Religion.GetRandomGodName] Erbarmen mit [From.GetFirstName] haben möge. Schlussendlich berichtet Euch Euer Leibarzt, dass er alles tun wird, was er kann, aber dass [From.GetFirstName] höchstwahrscheinlich sterben wird.;;El fisico ha llegado y ha comenzado a preparar las pociones necesarias. Esperas ansiosamente mientras él trabaja, rezando para que [Root.Religion.GetRandomGodName] tenga misericordia. Por último, el fisico te informa que él hará todo lo que pueda, pero que [From.GetFirstName] muy probablemente morira.;;;;;;;;;x
pneumonic_cure_option_others;Administer the medicine. The matter is now in [Root.Religion.GetRandomGodName]'s hands. ;Administrez le remède. La vie de [From.GetFirstName] se trouve maintenant entre les mains de [Root.Religion.GetRandomGodName].;Verabreicht die Medizin! Es liegt nun in den Händen von [Root.Religion.GetRandomGodName].;;Administrar el medicamento. La cura está ahora en las manos de [Root.Religion.GetRandomGodName].;;;;;;;;;x
#WIFE CURE EVENT LOCALISATIONS, FROM is the person being cured;;;;;;;;;;;;;;x
EVTDESCspoper6;The physician has arrived and has begun preparing the necessary salves and potions. [From.GetFirstName] seems anxious, but the physician tells [From.GetHerHim] not to worry. The physician informs you that your [GetFromRelation] will most likely make a speedy recovery once [From.GetSheHe] takes the medicine. ;Le médecin est arrivé et commence à préparer onguents et potions. [From.GetFirstName] s'inquiète, mais le médecin lui dit de ne pas s'inquièter. Le médecin vous informe que votre [GetFromRelation] sera très probablement à nouveau sur pied avec le remède prescrit.;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Salben und Tränke begonnen. [From.GetFirstName] ist etwas ängstlich, doch Euer Leibarzt spricht beruhigende Worte. Schließlich wendet sich Euer Leibarzt an Euch und informiert Euch, dass [From.GetFirstName] wohl bald wieder völlig genesen wird, wenn [From.GetSheHe] die Medizin einnimmt.;;El fisico ha llegado y ha comenzado la preparación de los ungüentos y pociones necesarias. [From.GetFirstName] parece ansioso, pero el médico le dice a [From.GetHerHim] que no preocupe. El fisico te informa que tu [GetFromRelation] es muy probable que tenga una rápida recuperación una vez que [From.GetSheHe] tome la medicina.;;;;;;;;;x
1st_tier_cure_option_spouse;Administer the cure. Let us pray [Root.Religion.GetRandomGodName] will be kind. ;Administrez le remède. Prions la bienfaisance de [Root.Religion.GetRandomGodName].;Verabreicht die Medizin. Lasst uns beten, dass [Root.Religion.GetRandomGodName] gändig sein wird.;;Administrar la cura. Oremos para que [Root.Religion.GetRandomGodName] sea misericordioso.;;;;;;;;;x
EVTDESCspoper9;The cure was a success! [From.GetFirstName] fully recovered thanks to your physician's timely intervention. Such hands are truly blessed by [Root.Religion.GetRandomGodName]! ;[From.GetFirstName] est guéri ! [From.GetSheHeCap] a complètement récupéré grâce à l'intervention opportune de votre médecin. Ces mains sont vraiment bénies par [Root.Religion.GetRandomGodName] !;Die Behandlung war ein Erfolg! [From.GetFirstName] hat sich, dank des rechtzeitigen Eingreifens Eures Leibarztes, vollständig erholt. Seine Hände sind wirklich von [Root.Religion.GetRandomGodName] gesegnet!;;¡La cura ha sido un éxito! [From.GetFirstName] gracias a la oportuna intervención de el fisico esta totalmente recuperada. ¡Estas manos han sido verdaderamente bendecidas por [Root.Religion.GetRandomGodName]!..;;;;;;;;;x
cure_spouse_success_option;Rejoice! ;Réjouissez-vous !;Frohlocket!;;¡Gran Regocijo!.;;;;;;;;;x
EVTDESCspoper10;Your [GetFromRelation] has not recovered and [From.GetHerHis] sickness has progressed even further. Unfortunately, your physician has informed you that nothing more can be done and [From.GetFirstName]'s life is now in [Root.Religion.GetRandomGodName]'s hands. ;Votre [GetFromRelation] n'a pas récupéré et son état s'est empiré. Malheureusement, votre médecin vous a informé que plus rien ne peut être fait et [Root.Religion.GetRandomGodName] décidera de son destin.;[From.GetFirstName] hat sich nicht erholt und [From.GetHerHis] Krankheit ist sogar noch weiter fortgeschritten. Leider hat Euer Leibarzt Euch darüber informiert, dass nichts mehr getan werden kann und [From.GetFirstName] 's Leben jetzt in den Händen von [Root.Religion.GetRandomGodName] liegt.;;Tu [GetFromRelation] no se ha recuperado y la enfermedad de [From.GetHerHis] ha empeorado aún más. Por desgracia, tu fisico te ha informado que nada más se puede hacer y la vida de [From.GetFirstName] esta ahora en manos de [Root.Religion.GetRandomGodName]..;;;;;;;;;x
cure_spouse_failure_option;We must pray more fervently for [From.GetFirstName]'s recovery! ;Nous devons prier avec plus de ferveur pour la guérison de [From.GetFirstName] !;Wir müssen inbrünstiger für [From.GetFirstName]'s Genesung beten!;;¡Debemos orar aun más fervientemente por la recuperación de [From.GetFirstName]!.;;;;;;;;;x
EVTDESCspoper11;The physician has arrived and has begun preparing the necessary salves and potions. You wait anxiously as he works, praying silently that [Root.Religion.GetRandomGodName] will have mercy on [From.GetFirstName]. The physician then informs you there is a chance the cure may not work, but he will do all he can.. ;Le médecin arrive et commence à préparer les onguents. Vous attendez nerveusement à l'extérieur alors qu'il travaille, priant [Root.Religion.GetRandomGodName] d'être miséricordieux envers [From.GetFirstName]. D'après le médecin, le traitement peut ne pas fonctionner, mais il a fait tout ce qu'il pouvait...;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Salben und Tränke begonnen. Ihr wartet gespannt, als er mit der Behandlung beginnt, und betet still, dass [Root.Religion.GetRandomGodName] Erbarmen mit [From.GetFirstName] haben möge. Schließlich informiert Euch Euer Leibarzt, dass die Möglichkeit besteht, dass die Behandlung keinen Erolg haben könnte.;;El fisico ha llegado y ha comenzado la preparación de los ungüentos y pociones necesarias. Esperas ansiosamente mientras él trabaja, rezando en silencio para que [Root.Religion.GetRandomGodName] tenga piedad de [From.GetFirstName]. Luego, el fisico te informa que hay una posibilidad de que la curación no funcione, pero que va a hacer todo lo posible ..;;;;;;;;;x
2nd_tier_cure_option_spouse;Administer the medicine. [Root.Religion.GetRandomGodName] cannot take my [GetFromRelation] away from me! ;Administrez le médicament. [Root.Religion.GetRandomGodName] ne peut pas nous séparer !;Verabreicht die Medizin! [Root.Religion.GetRandomGodName] kann mir [From.GetFirstName] nicht wegnehmen.;;Administrar el medicamento. ¡[Root.Religion.GetRandomGodName] no puede llevarse a mi [GetFromRelation] lejos de mí!.;;;;;;;;;x
EVTDESCspoper12;The physician has arrived and has begun preparing the necessary salves. You wait outside as he works, praying silently that [Root.Religion.GetRandomGodName] will have mercy on [From.GetFirstName]. Finally, the physician informs you there is a large chance the cure may not work, but he will do all he can. ;Le médecin arrive et commence à préparer les onguents. Vous attendez nerveusement à l'extérieur pendant son travail, priant [Root.Religion.GetRandomGodName] d'être miséricordieux envers [From.GetFirstName]. Avant l'administration du remède, le médecin vous informe que les chances de guérisons sont minces, mais il fera tout ce qu'il peut.;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Salben und Tränke begonnen. Ihr wartet gespannt im Nebenraum, und betet still, dass [Root.Religion.GetRandomGodName] Erbarmen mit [From.GetFirstName] haben möge. Letzendlich erklärt Euch Euer Leibarzt, dass die Behandlung mit hoher Wahrscheiunlichkeit keinen Effekt haben wird, aber das er tut, was er kann.;;El fisico ha llegado y ha comenzado la preparación de los bálsamos necesarios. Tienes que esperar fuera mientras que él trabaja, rezando en silencio para que [Root.Religion.GetRandomGodName] tenga piedad de [From.GetFirstName]. Por último, el fisico te informa de que hay una gran posibilidad de que la curación pueda no funcionar, pero él hará todo lo que pueda.;;;;;;;;;x
syphilitic_cure_option_spouse;My poor [GetFromRelation]... ;Ô, [Root.Religion.GetRandomGodName], aie pitié... ;Oh, [GetFromRelation]... ;;Mi pobre [GetFromRelation] ...;;;;;;;;;x
EVTDESCspoper14;[Root.Religion.GetRandomGodName] has unfortunately decided to take your [GetFromRelation] [From.GetFirstName] from you. [From.GetSheHeCap] will soon be laid to rest after a period of mourning. ;[Root.Religion.GetRandomGodName] a malheureusement décidé de prendre [From.GetFirstName]. [From.GetSheHeCap] aura ses funérailles après une période de deuil.;[Root.Religion.GetRandomGodName] hat sich wohl dafür entschlossen, dass [From.GetFirstName] nicht wiederhergestellt werden soll. [From.GetSheHeCap] wird nach einer Zeit der Trauer zur letzten Ruhe gebettet werden.;;[Root.Religion.GetRandomGodName] ha decidido por desgracia llevarse a tu [GetFromRelation] [From.GetFirstName] lejos de ti. [From.GetSheHeCap] pronto será llevado a descansar después de un período de luto.;;;;;;;;;x
cure_spouse_death_option;My dear [GetFromRelation], why have you abandoned me? ;[GetFromRelation], pourquoi m'as-tu abandonné ?;[GetFromRelation] … warum hast du mich verlassen?;;Mi querido [GetFromRelation], ¿por qué me has abandonado?.;;;;;;;;;x
EVTDESCspoper15;The physician has arrived, but the look on his face is that of pure terror. You wait anxiously outside as he works, praying that [Root.Religion.GetRandomGodName] will have mercy on [From.GetFirstName]. The physician exits the chamber and informs you that he will do all he can, but your [GetFromRelation] will most likely die. ;Le médecin est arrivé, mais son regard reflète le désespoir. Vous attendez anxieux à l'extérieur pendant qu'il s'affaire, priant [Root.Religion.GetRandomGodName] d'accorder sa pitié à [From.GetFirstName]. Quand le médecin est sorti de la chambre, il vous a annoncé qu'il a fait tout ce qu'il pouvait, mais votre [GetFromRelation] peut mourir.;;Euer Leibarzt ist eingetroffen doch der Ausdruck auf seinem Gesicht ist voller Sorge. Ihr wartet gespannt im Nebenraum, und betet, dass [Root.Religion.GetRandomGodName] Erbarmen mit [From.GetFirstName] haben möge. Euer Leibarzt verlässt das Gemach und benachichtigt Euch, dass er alles tun wird, was in seiner Macht steht, aber dass [From.GetFirstName] dennoch sterben könnte.;;El fisico ha llegado, pero la expresión de su cara es de puro terror. Esperas ansiosamente afuera mientras él trabaja, rezando para que [Root.Religion.GetRandomGodName] tenga piedad de [From.GetFirstName]. El fisico sale de la cámara y le informa que va a hacer todo lo posible, pero lo mas probable es que tu [GetFromRelation] muera.;;;;;;;;;x
plague_cure_option_spouse;May [Root.Religion.GetRandomGodName] save us from this scourge! ;Que [Root.Religion.GetRandomGodName] nous sauve de ce fléau !;Möge [Root.Religion.GetRandomGodName] uns davor bewahren!;;¡Acaso puede [Root.Religion.GetRandomGodName] salvarnos de este flagelo!.;;;;;;;;;x
EVTDESCspoper16;The physician has arrived and has begun preparing the necessary potions. You wait anxiously as he works, praying that [Root.Religion.GetRandomGodName] will have mercy on [From.GetFirstName]. The physician informs you that he will do all he can, but you [GetFromRelation] may still die. ;À son arrivée, le médecin s'est mis à préparer les potions. Vous attendez anxieux pendant ce temps, priant [Root.Religion.GetRandomGodName] pour son indulgence. Lorsqu'il sort, le médecin vous informe qu'il a fait ce qu'il pouvait, mais votre [GetFromRelation] a de fortes chances de mourir.;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Tränke begonnen. Ihr wartet gespannt, als er mit der Behandlung beginnt, und betet still, dass [Root.Religion.GetRandomGodName] Erbarmen mit [From.GetFirstName] haben möge. Schlussendlich berichtet Euch Euer Leibarzt, dass er alles tun wird, was er kann, aber dass [From.GetFirstName] höchstwahrscheinlich sterben wird.;;El fisico ha llegado y ha comenzado a preparar las pociones necesarias. Esperas ansiosamente mientras él trabaja, rezando para que [Root.Religion.GetRandomGodName] tenga piedad de [From.GetFirstName]. El fisico te informa que él hará todo lo que pueda, pero que [GetFromRelation] aún puede morir.;;;;;;;;;x
pneumonic_cure_option_spouse;It is in [Root.Religion.GetRandomGodName]'s hands. ;La vie de [From.GetFirstName] se trouve maintenant entre les mains de [Root.Religion.GetRandomGodName].;Es liegt nun in den Händen von [Root.Religion.GetRandomGodName].;;Ahora esta en manos de [Root.Religion.GetRandomGodName].;;;;;;;;;x
#SELF CURE EVENT LOCALISATIONS, FROM IS THE COURT PHYSICIAN;;;;;;;;;;;;;;x
EVTDESCselper6;The physician has arrived and has begun preparing the necessary salves and potions. Anxiety grips you, and you ask [From.GetFirstName] if you will recover quickly from this illness. [From.GetSheHeCap] smiles and nods. ;Le médecin est arrivé et a débuté la préparations des remèdes. Anxieux, vous demandez à [From.GetFirstName] si vous allez récupérer rapidement. [From.GetSheHeCap] vous sourit et acquiesce.;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Salben und Tränke begonnen. Furcht ergreift, und Ihr fragt [From.GetFirstName], ob Ihr Euch schnell von dieser Krankheit erholen werdet. [From.GetSheHeCap] lächelt und nickt.;;El fisico ha llegado y ha comenzado la preparación de los ungüentos y pociones necesarias. La ansiedad se apodera de ti, y le pides a [From.GetFirstName] que diga si vas a recuperarte rápidamente de esta enfermedad. [From.GetSheHeCap] sonrie y te hace un guiño..;;;;;;;;;x
1st_tier_cure_option_self;Give orders to administer the medicine. ;Il est donc temps d'administrer le remède.;Den Befehl geben, mit der Behandlung zu beginnen.;;Dar la orden de administrar la medicina.;;;;;;;;;x
EVTDESCselper9;The cure was a success! Before long, you are back on your feet thanks to your physician's timely intervention. Such hands are truly blessed by [Root.Religion.GetRandomGodName]! ;Vous êtes guéri ! Vous avez complètement récupéré grâce à l'intervention opportune de votre médecin. Ces mains sont vraiment bénies par [Root.Religion.GetRandomGodName] !;Die Behandlung war ein Erfolg! Dank des rechtzeitigen Eingreifens Eures Leibarztes, seid Ihr nach langer Zeit endlich wieder auf den Beinen. Seine Hände sind wirklich von [Root.Religion.GetRandomGodName] gesegnet!;;¡La cura ha sido un éxito! En poco tiempo, estás de vuelta en tus pies gracias a la oportuna intervención del fisico. ¡Esas manos estan verdaderamente bendecidas por [Root.Religion.GetRandomGodName]!..;;;;;;;;;x
cure_self_success_option;[Root.Religion.GetRandomGodName]'s favor is upon me. ;[Root.Religion.GetRandomGodName] m'est favorable.;[Root.Religion.GetRandomGodName] war mit gnädig.;;El favor de [Root.Religion.GetRandomGodName] está sobre mí..;;;;;;;;;x
EVTDESCselper10;You awaken and feel a burning, twisting pain that you have never yet felt in your life. You immediately send for your physician, but unfortunately, nothing more can be done and your life is now in [Root.Religion.GetRandomGodName]'s hands. ;Vous vous réveillez, une sensation de brûlure vous faisant vous tordre de douleur. Vous avez l'impression de mourir. Vous faites appeler immédiatement votre médecin, mais malheureusement, rien de plus ne peut être fait et votre vie est maintenant dans les mains de [Root.Religion.GetRandomGodName].;Ihr erwacht und fühlt einen so brennenden und unerträglichen Schmerz, wie Ihr ihn noch nie in Eurem Leben gespürt habt. Ihr schickt sofort nach Eurem Leibarzt, aber leider kann nichts mehr getan werden. Euer Leben ist von nun an in den Händen von [Root.Religion.GetRandomGodName].;;Te despiertas y sientes una sensación de ardor, torciendote de un dolor que nunca habias sentido en tu vida. Mandas traer inmediatamente al fisico, pero, por desgracia, nada más se puede hacer y vuestra vida está en manos de [Root.Religion.GetRandomGodName]..;;;;;;;;;x
cure_self_failure_option;May [Root.Religion.GetRandomGodName] save me from death's icy grip. ; Que [Root.Religion.GetRandomGodName] me sauve des griffes de la mort !;Möge [Root.Religion.GetRandomGodName] mich vor den eisigen Fängen des Todes erretten.;;Puede [Root.Religion.GetRandomGodName] salvarme de las heladas garras de la muerte.;;;;;;;;;x
EVTDESCselper11;The physician has arrived and has begun preparing the necessary salves and potions. You tense as fear grips your mind, and [From.GetFirstName]'s face betrays no sign of either good or bad. [From.GetFirstName] implores you to rest and relax, but you cannot. ;Le médecin est arrivé et a commencé à préparer onguents et potions. Vous vous tendez alors que la peur s'empare de vous, mais [From.GetFirstName] reste impassible face à votre état. [From.GetSheHeCap] vous implore de vous reposer et de vous détendre, mais vous n'y arrivez pas.;Ihr verkrampf, sowie Ihr von der Angst überwältigt werdet. [From.GetFirstName] schenkt Euch weder gute noch schlechte Blicke, er bittet Euch nur, Euch auszuruhen und zu entspannen, aber das vermögt Ihr nicht.;;El fisico ha llegado y ha comenzado la preparación de los ungüentos y pociones necesarias. Te tensas del miedo que hay en tu mente, y la cara de [From.GetFirstName] no brinda ninguna señal de bueno o malo. [From.GetFirstName] implora que descanses y te relajes, pero no puedes..;;;;;;;;;x
2nd_tier_cure_option_self;Administer the medicine. My spirit is strong, but my flesh is weak. ;Administrez le remède. Mon esprit est fort, mais ma chair est faible.;Beginnt die Behandlung! Mein Geist ist stark, doch mein Fleisch ist schwach.;;Administra el medicamento. Mi espíritu es fuerte, pero mi carne es débil.;;;;;;;;;x
EVTDESCselper12;The physician has arrived and has begun preparing the necessary salves. The procedure will be immensely uncomfortable, and you start having second thoughts. Despite your physician's expertise, only [Root.Religion.GetRandomGodName] knows whether you will be healed. ;Le médecin arrive et commence à préparer les onguents. L'application du remède sera pénible, et les doutes vous assaillent. Malgré l'expertise du médecin, votre destin repose entre les mains de [Root.Religion.GetRandomGodName].;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Salben begonnen. Das Verfahren wird enorm unbequem werden und Zweifel überkommen Euch. Trotz des Fachverstandes Eures Leibarztes, weiß nur [Root.Religion.GetRandomGodName], ob Ihr wieder gesund werdet.;;El fisico ha llegado y ha comenzado la preparación de los bálsamos necesarios. El procedimiento será inmensamente incómodo, y comienzas a tener dudas. A pesar de la experiencia de tu fisico, sólo [Root.Religion.GetRandomGodName] sabe si vas a ser sanado.;;;;;;;;;x
syphilitic_cure_option_self;Give orders to administer the medicine. ;Il est donc temps d'administrer le remède.;Den Befehl geben, mit der Behandlung zu beginnen.;;Dar la orden de administrar la medicina.;;;;;;;;;x
EVTDESCselper14;You have been bedridden for days and the sickness has not passed from your body. Your vision begins to blur and you feel yourself sinking... and then darkness. ;Vous avez été alité pendant des jours et la maladie habite toujours votre corps. Votre vision s'estompe et vous vous sentez même sombrer lentement... dans l'obscurité;Ihr seid seit Tagen bettlägerig und die Krankheit ist nicht aus Eurem Körper gewichen. Eure Sehkraft beginnt zu verblassen, und Ihr fühlt Euren Geist versinken ... und dann, Dunkelheit.;;Has estado en cama durante días y la enfermedad no ha dejado tu cuerpo. Tu visión comienza a desdibujarse y sientes que te hundes ... y luego la oscuridad...;;;;;;;;;x
cure_self_death_option;Into [Root.Religion.GetRandomGodName]'s hands I commit my spirit. ;Je remets mon âme entre les mains de [Root.Religion.GetRandomGodName];In die Hände von [Root.Religion.GetRandomGodName] lege ich meinen Geist.;;En las manos de [Root.Religion.GetRandomGodName] encomiendo mi espíritu..;;;;;;;;;x
EVTDESCselper15;The physician has arrived, but the look on his face is that of pure terror. You do your best to keep still as he applies the medicine, but the painful sores overpower your senses and you scream in pain. ;Le médecin est arrivé, mais son regard reflète le désespoir. Vous faites de votre mieux pour rester immobile pendant qu'il applique le remède, mais les plaies douloureuses accablent vos sens et vous criez de souffrance.;Euer Leibarzt ist eingetroffen doch der Ausdruck auf seinem Gesicht ist voller Sorge. Ihr gebt Euer bestes, um still zu halten, als Euer Leibarzt mit der Behandlung beginnt, doch die schmerzhaften Wundstellen überwältigen Eure Sinne und Ihr schreit schmerzerfüllt auf.;;El fisico ha llegado, pero la expresión de su cara es de puro terror. Haces tu mejor esfuerzo para mantenerte quieto mientras te aplica la medicina, pero las llagas dolorosas dominan tus sentidos y te hacen gritar de dolor..;;;;;;;;;x
plague_cure_option_self;Continue! This is the wrath of [Root.Religion.GetRandomGodName] upon me. ;Continuez ! La colère divine s'est abattu sur moi. ;Fahrt fort! Auf mir liegt der Zorn von [Root.Religion.GetRandomGodName].;;¡Continúa! Esta es la ira de [Root.Religion.GetRandomGodName] que arroja sobre de mí.;;;;;;;;;x
EVTDESCselper16;The physician has arrived and has begun preparing the necessary potions. You feel as weak as a babe, but [From.GetFirstName] insists that you sit up long enough for him to administer the medicine. ;À son arrivée, le médecin s'est mis à préparer les potions. Vous vous sentez aussi faible qu'un nourrisson, mais [From.GetFirstName] insiste pour que vous vous asseyez suffisamment longtemps pour pouvoir administrer le médicament.;Euer Leibarzt ist eingetroffen und hat mit der Vorbereitung der notwendigen Tränke begonnen. Ihr fühlt Euch so schwach wie ein Säugling, doch [From.GetFirstName] besteht darauf, dass Ihr so lange aufrecht sitzt, bis er Euch die Heilmittel verabreicht hat.;;El fisico ha llegado y ha comenzado a preparar las pociones necesarias. Te sientes tan débil como un bebé, pero [From.GetFirstName] insiste en que te sientes el tiempo suficiente para él para administrar el medicamento.;;;;;;;;;x
pneumonic_cure_option_self;Give it to me and begone! ;Donnez le moi et allez-vous-en !;Gebt es mir endlich, und dann hinfort mit Euch!;;¡Dadmelo! y ¡Retíraos!.;;;;;;;;;x
