#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
robmod_create_norse_monks;Establish the Beyð monastic orders;Établir les commandes monastiques Beyð;Stellen Sie die Beyð Klosterorden fest;;Establecer las órdenes monásticas Beyð;;;;;x
has_fought_grand_champion_tt;Must not have fought in Holmgang in the last 12 months, or challenged the Champion in the last 5 years;Ne doit pas avoir combattu à Holmgang au cours des 12 derniers mois, ou défié le Champion au cours des 5 dernières années;Muss in den letzten 12 Monaten nicht in Holmgang gekämpft haben oder den Champion in den letzten 5 Jahren herausgefordert haben;;No debe haber luchado en Holmgang en los últimos 12 meses, o desafiado al campeón en los últimos 5 años;;;;;x
norse_champions_inspire_troops;Inspire armies;Inspire les armées;Inspirieren Sie Armeen;;Inspire ejércitos;;;;;x
norse_champions_inspire_troops_named;Inspire armies;Inspire les armées;Inspirieren Sie Armeen;;Inspire ejércitos;;;;;x
norse_champions_inspire_troops_desc;Your status as a Drengr of the Champions of Miðgarðr commands the respect of every Norseman. When at war, you can give an inspirational speech to your armies, improving their morale and recruiting more eager warriors to fight for glory.;Votre statut de Drengr of the Champions of Miðgarðr commande le respect de chaque Norseman. Utilisez-le lorsque vous êtes en guerre pour donner un discours inspirant à vos armées, améliorer leur moral et recruter des guerriers plus désireux de lutter pour la gloire.;Dein Status als Drengr der Meister von Miðgarðr befiehlt dem Respekt jedes Norsemans. Benutze dies beim Krieg, um eine inspirierende Rede an deine Armeen zu geben, ihre Moral zu verbessern und mehr eifrige Krieger zu rekrutieren, um für den Ruhm zu kämpfen.;;Tu estatus como Drengr de los Campeones de Miðgarðr ordena el respeto de cada Norseman. Utilice esto cuando en la guerra para dar un discurso inspirado a sus ejércitos, mejorando su moral y reclutando guerreros más ávidos para luchar para la gloria.;;;;;x
norse_champions_inspire_troops_power_desc;Enables you to give a speech to your troops when at war, improving army morale and increasing your levy size. This action is performed through the §Gintrigue screen.§!;Vous permet de donner un discours à vos troupes en cas de guerre, d'améliorer le moral de l'armée et d'augmenter votre taille de prélèvement.;Ermöglicht es Ihnen, eine Rede an Ihre Truppen zu geben, wenn im Krieg, Verbesserung der Armee Moral und Erhöhung Ihrer Abgabe Größe.;;Le permite dar un discurso a sus tropas cuando en la guerra, mejorar la moral del ejército y el aumento de su tamaño de la tasa.;;;;;x
norse_champions_inspire_troops_cooldown_tt;Has NOT used this action in the last 5 years;N'A PAS utilisé cette action au cours des 5 dernières années;Hat diese Aktion in den letzten 5 Jahren nicht benutzt;;No ha utilizado esta acción en los últimos 5 años;;;;;x
norse_champions_inspire_troops_tt;Deliver a speech to inspire your troops.;Donnez un discours pour inspirer vos troupes.;Erhalte eine Rede, um deine Truppen zu begeistern.;;Entregue un discurso para inspirar a sus tropas.;;;;;x
norse_champions_teach_swordfight;Teach swordsmanship;Enseigner l'épée;Lehre Schwertkunst;;Enseñe la esgrima;;;;;x
norse_champions_teach_swordfight_named;Teach swordsmanship;Enseigner l'épée;Lehre Schwertkunst;;Enseñe la esgrima;;;;;x
norse_champions_teach_swordfight_desc;As a powerful Drengr of the Champions of Miðgarðr, you can take [Root.GetTitledFirstName] under your wing and train [Root.GetHerHim] in swordsmanship.;En tant que puissant Drengr of the Champions of Miðgarðr, vous pouvez prendre [Root.GetTitledFirstName] sous votre aile et former [Root.GetHerHim] dans les combats d'épée.;Als ein mächtiger Drengr der Meister von Miðgarðr kannst du [Root.GetTitledFirstName] unter deinem Flügel und Zug [Root.GetHerHim] im Schwertkampf nehmen.;;Como Drengr poderoso de los Campeones de Miðgarðr, puedes tomar [Root.GetTitledFirstName] debajo de tu ala y entrenar [Root.GetHerHim] en combate de espadas.;;;;;x
norse_champions_teach_swordfight_power_desc;Enables you to §GRight-Click§! on another character and teach them the art of sword fighting.;Vous permet d'enseigner à un autre personnage l'art de la lutte des épées.;Ermöglicht es Ihnen, einen anderen Charakter der Kunst des Schwertkampfes zu unterrichten.;;Le permite enseñar a otro personaje el arte de luchar con espadas.;;;;;x
female_sword_training_tt;Only men are suitable trainees, unless the target is a shieldmaiden or a feudal/tribal ruler, or you have the equal women law.;Seuls les hommes sont des stagiaires appropriés, à moins que la cible ne soit une femme de garde ou une règle féodale ou tribale, ou que vous ayez la loi féminine égale.;Nur Männer sind geeignete Auszubildende, es sei denn, das Ziel ist ein Schildmädchen oder ein Feudal / Stammes-Herrscher, oder Sie haben das gleiche Frauenrecht.;;Sólo los hombres son aprendices adecuados, a menos que el objetivo sea un escudero o un gobernante feudal / tribal, o usted tiene la ley igual de las mujeres.;;;;;x
has_taught_swordfighting_tt;Must NOT have trained another character in the last 5 years;NE DOIT PAS avoir formé un autre personnage au cours des 5 dernières années;Muss NICHT in den letzten 5 Jahren einen anderen Charakter trainiert haben;;No debe haber entrenado a otro personaje en los últimos 5 años;;;;;x
i_healthy_tt;You are healthy;Tant vous et le stagiaire doivent être en bonne santé;Sowohl Sie als auch der Auszubildende müssen gesund sein;;Tanto usted como el estudiante deben estar sanos;;;;;x
you_healthy_tt;The trainee is healthy;Tant vous et le stagiaire doivent être en bonne santé;Sowohl Sie als auch der Auszubildende müssen gesund sein;;Tanto usted como el estudiante deben estar sanos;;;;;x
teach_swordfighting_tt;After a few months of hard training:;Après quelques mois d'entraînement difficile:;Nach ein paar Monaten harte Ausbildung:;;Después de unos meses de duro entrenamiento:;;;;;x
swordfighting_beneficial_trait_tt;[Root.GetTitledFirstName] will also lose a random detrimental trait or gain a beneficial one.;[Root.GetTitledFirstName] perdra également un trait aléatoire préjudiciable ou gagnera un avantage.;[Root.GetTitledFirstName] wird auch eine zufällige schädliche Eigenschaft verlieren oder gewinnen eine vorteilhafte.;;[Root.GetTitledFirstName] también perderá un rasgo perjudicial al azar o obtendrá un beneficio.;;;;;x
norse_champions_raise_army;Raise a Champion's Army;Relever l'armée d'un Champion;Hebt die Armee eines Meisters an;;Levante el ejército de un campeón;;;;;x
norse_champions_raise_army_named;Raise a Champion's Army;Relever l'armée d'un Champion;Hebt die Armee eines Meisters an;;Levante el ejército de un campeón;;;;;x
norse_champions_raise_army_desc;Every Norseman longs to win glory fighting at the side of the Grand Champion of Miðgarðr. When at war, you can raise a huge army of loyal followers to follow you into battle. They will disband in peacetime and you can only do this once every 5 years, so pick your war wisely!;Tout homme norois veut gagner la gloire aux côtés du Grand Champion de Miðgarðr. Lorsque vous êtes en guerre, vous pouvez créer une énorme armée de fidèles partisans pour vous suivre dans la bataille. Ils se dissolvent en temps de paix et vous ne pouvez le faire qu'une fois tous les 5 ans, alors choisissez votre guerre à bon escient!;Jeder nordische Mann will neben dem Grand Champion von Miðgarðr Ruhm gewinnen. Wenn du im Krieg bist, kannst du eine riesige Armee treuer Anhänger aufziehen, um dir in die Schlacht zu folgen. Sie werden sich in Friedenszeiten auflösen und du kannst dies nur einmal alle 5 Jahre tun, also wähle deinen Krieg!;;Tout homme norois veut gagner la gloire aux côtés du Grand Champion de Miðgarðr. Lorsque vous êtes en guerre, vous pouvez créer une énorme armée de fidèles partisans pour vous suivre dans la bataille. Se disolverán en tiempo de paz y sólo se puede hacer esto una vez cada 5 años, así que elegir su guerra sabiamente!;;;;;x
norse_champions_raise_army_power_desc;Enables you to raise a huge army of loyal followers, desperate to win glory at the side of the Grand Champion of Miðgarðr. This action is performed through the §Gintrigue screen.§!;Vous permet d'élever une énorme armée de fidèles partisans désespérés pour la gloire.;Ermöglicht es Ihnen, eine riesige Armee von treuen Anhängern zu erheben, verzweifelt nach Ruhm.;;Le permite levantar un enorme ejército de seguidores leales, desesperados por la gloria.;;;;;x
norse_champions_raise_army_cooldown_tt;Has NOT used this action in the last §Y5 years§!;N'A PAS utilisé cette action au cours des 5 dernières années;Hat diese Aktion in den letzten 5 Jahren nicht benutzt;;No ha utilizado esta acción en los últimos 5 años;;;;;x
norse_champions_raise_army_tt;Raise an army in your capital county, scaled to half the size of your current maximum levies (limited to minimum 2,500, maximum 10,000).;Relevez une armée dans votre comté de la capitale, échelonné à la moitié de la taille de vos prélèvements maximums actuels (minimum 2.500, maximum 10.000).;Heben Sie eine Armee in Ihrer Hauptstadt Grafschaft, skaliert auf die Hälfte der Größe Ihrer aktuellen maximalen Abgaben (mindestens 2.500, maximal 10.000).;;Levante un ejército en su condado de capital, reducido a la mitad del tamaño de sus actuales impuestos máximos (mínimo 2.500, máximo 10.000).;;;;;x
norse_champions_dem_tour;Demand a Champion's Tournament;Appelez pour un tournoi de champion;Rufen Sie für ein Champion-Turnier;;Convocatoria de Torneo de Campeones;;;;;x
norse_champions_dem_tour_named;Demand a Champion's Tournament;Appelez pour un tournoi de champion;Rufen Sie für ein Champion-Turnier;;Convocatoria de Torneo de Campeones;;;;;x
norse_champions_dem_tour_desc;If the Kappi-Eftsr has been idle for too long, you can demand that he/she holds a Champion's Tournament, where every Champion of Miðgarðr gets a chance to prove his worth.;Si Kappi-Eftsr est inactif pendant trop longtemps, vous pouvez exiger qu'il ait un Tournoi de Champion, où chaque Champion de Miðgarðr a la chance de prouver sa valeur.;Wenn der Kappi-Eftsr zu lange im Leerlauf war, können Sie verlangen, dass er / sie ein Champion-Turnier hält, wo jeder Champion von Miðgarðr eine Chance bekommt, seinen Wert zu beweisen.;;Si el Kappi-Eftsr ha estado inactivo durante demasiado tiempo, puede exigir que él o ella tenga un torneo de Campeón, donde cada Campeón de Miðgarðr tiene la oportunidad de demostrar su valor.;;;;;x
norse_champions_dem_tour_power_desc;Enables you to §GRight-Click§! on the Kappi-Eftsr and demand he/she holds a Champion's Tournament.;Vous permet de cliquer avec le bouton droit de la souris sur le Kappi-Eftsr et de demander qu'il / elle détient un Tournoi de Champion.;Ermöglicht es Ihnen, mit der rechten Maustaste auf den Kappi-Eftsr zu klicken und verlangen, dass er / sie ein Champion-Turnier hält.;;Le permite hacer clic con el botón derecho en el Kappi-Eftsr y exigir que él / ella tenga un Torneo de Campeones.;;;;;x
norse_champions_dem_tour_cooldown_tt;Has NOT demanded a tournament in the last §Y5 years§!;N'A PAS réclamé un tournoi dans les dernières §Y5 ans§!;Hat in den letzten §Y5 Jahren§! kein Turnier gefordert;;NO ha exigido un torneo en los últimos §Y5 años§!;;;;;x
norse_champions_dem_tour_tt;A letter is sent to Kappi-Eftsr [Root.GetFirstName], demanding the Champion's Tournament is held within a year. If [Root.GetSheHe] refuses, [Root.GetSheHe] will step down as Grand Champion.;Une lettre est envoyée au Kappi-Eftsr, exigeant que le Tournoi Champion se tienne dans un an.;Ein Brief wird an den Kappi-Eftsr geschickt und verlangt, dass das Champion-Turnier innerhalb eines Jahres stattfindet.;;Se envía una carta al Kappi-Eftsr, exigiendo que el Torneo del Campeón se celebre dentro de un año.;;;;;x
norse_champions_tournament;Host a Champion's Tournament;Organisez un tournoi de champion;Gastgeber eines Champion-Turniers;;Organice un Torneo de Campeones;;;;;x
norse_champions_tournament_named;Host a Champion's Tournament;Organisez un tournoi de champion;Gastgeber eines Champion-Turniers;;Organice un Torneo de Campeones;;;;;x
norse_champions_tournament_desc;Invite every able-bodied member of the Champions of Miðgarðr to prove their worth in a Champions Tournament. The winner of the qualifiers will earn the right to challenge the Kappi-Eftsr for the title of Grand Champion. The whole Norse world will be watching, and successful combatants will earn a great deal of §YPrestige§! and §YHreysti§!. Of course, the Grand Champion puts his/her title on the line, making this a risky business, but if you fail to host one for too long you are likely to be forced into doing so anyway.;Invitez tous les membres valides des champions de Miðgarðr à prouver leur valeur dans un tournoi de champions. Le vainqueur des qualifications aura le droit de contester le Kappi-Eftsr pour le titre de Grand Champion. Tout le monde nordique va regarder, et les combattants réussis gagneront beaucoup de prestige et Hreysti.;Laden Sie jedes fähige Mitglied der Meister von Miðgarðr ein, um sich in einem Champions-Turnier zu bewähren. Der Gewinner der Qualifikation wird das Recht haben, den Kappi-Eftsr für den Titel Grand Champion herauszufordern. Die ganze nordische Welt wird zusehen, und erfolgreiche Kombattanten werden viel Prestige und Hreysti verdienen.;;Invita a todos los miembros de los Campeones de Miðgarðr a probar su valor en un Torneo de Campeones. El ganador de los clasificadores se ganará el derecho de desafiar a la Kappi-Eftsr por el título de Gran Campeón. Todo el mundo nórdico estará observando, y los combatientes exitosos ganarán mucho prestigio y Hreysti.;;;;;x
norse_champions_tournament_power_desc;Enables you to host a Champion's Tournament where every Champion of Miðgarðr has the chance to prove his worth and even challenge the Kappi-Eftsr. This action is performed through the §GIntrigue Screen.§!;Vous permet d'accueillir un Tournoi de Champion où chaque Champion de Miðgarðr a la chance de prouver sa valeur et même de défier le Kappi-Eftsr.;Ermöglicht es Ihnen, ein Champion-Turnier zu veranstalten, in dem jeder Champion von Miðgarðr die Chance hat, seinen Wert zu beweisen und sogar den Kappi-Eftsr herauszufordern.;;Le permite ser anfitrión de un Torneo de Campeones donde cada Campeón de Miðgarðr tiene la oportunidad de demostrar su valía e incluso desafiar a la Kappi-Eftsr.;;;;;x
norse_champions_tournament_cooldown_tt;Has NOT used this action in the last §Y5 years§!;N'A PAS utilisé cette action au cours des 5 dernières années;Hat diese Aktion in den letzten 5 Jahren nicht benutzt;;No ha utilizado esta acción en los últimos 5 años;;;;;x
norse_champions_tournament_tt;Send word to every able-bodied Champion, inviting them to the Tournament;Envoyez un mot à tous les champions valides, les invitant au Tournoi;Sende ein Wort an jeden behinderten Champion und lud sie zum Turnier ein;;Envía palabra a todos los campeones sanos, invitándolos al Torneo;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
