honest_trusting_or_kind;You have this option because you are §YHonest§!, §YKind§! or §YTrusting§!. ;Cette option est disponible car vous possédez la caractéristique §YHonest§!, §YKind§! ou §YTrusting§!.;Ihr habt diese Option, da Ihr §YEhrlich§!, §YGütig§! oder §YTreuherzig§! seid. ;;Tienes esta opción porque eres §YHonesto§!, §YAmable§! o §YConfiado§!.;;;;;;;;;x
EVTDESCTRAYAR19;After months of training and strict discipline, your courtiers no longer mock your incompetence in the martial arts. As a warrior, you are feared by your enemies, and as a [Root.GetTitle], you are respected by your subjects. ;Après des mois de formation et de discipline stricte, vos courtisans ne se moquent plus de votre incompétence dans les arts martiaux. En tant que guerrier, vous êtes craint par vos ennemis, et en tant que [Root.GetTitle], vous êtes respecté par vos sujets.;Nach Monaten der Ausbildung und strenger Disziplin, verspotten Eure Höflinge nun nicht mehr Eure Unfähigkeit in den Kampfkünsten. Als Krieger, seid Ihr bei Euren Feinden gefürchtet, und als [Root.GetTitle] seid Ihr bei Euren Untertanen hoch angesehen.;;Después de meses de entrenamiento y una estricta disciplina, los cortesanos ya no se burlan de tu incompetencia en las artes de la guerra. Como un guerrero, se le teme por sus enemigos, y como un [Root.GetTitle],es respetado por sus súbditos.;;;;;;;;;x
martial_improve_ends_option;They will call me the Soldier-[Root.GetTitle]!;Ils m'appelleront le [Root.GetTitle]-guerrier.;Sie werden mich den '[Root.GetTitle] der Krieger' nennen!;;Ellos me van a llamar el soldado-[Root.GetTitle]!;;;;;;;;;x
EVTDESCCHAPER12;After bleeding your treasury dry on tomes and volumes written by the colossi of the faith, [From.GetFirstName] begins to mentor you through an exhaustive study of every facet of theology. Your head is spinning, but [From.GetFirstName] is relentless and does not allow you to rest your eyes. ;Après avoir saigné votre trésorerie pour l'achat de grimoires ou de volumes écrits par les grands noms de la foi, [From.GetFirstName] commence à encadrer votre enseignement à travers l'étude exhaustive de tous les aspects de la théologie. Votre tête tourne, mais [From.GetFirstName] est implacable, et ne permet pas à vos yeux le moindre repos.;Nachdem Ihr, durch den Kauf von Folianten und Büchern, die von wahren Glaubensgrößen verfasst wurden, wieder Platz in Eurer Schatzkammer geschaffen habt, beginnt [From.GetFirstName] damit, Euch bei den erschöpfenden Studien über die umfassenden Aspekte der Theologie zu betreuen. Euch brummt der Schädel, aber [From.GetFirstName] ist unerbittlich, und erlaubt Euren Augen keine Rast.;;Después de sangrar la tesorería en tomos y volúmenes escritos por los colosos de la fe, [From.GetFirstName] comienza a guiarte através de un estudio exhaustivo de todos los aspectos de la teología. Tu cabeza da vueltas, pero [From.GetFirstName] es implacable y no te permite descansar los ojos.;;;;;;;;;x
theological_improve_start_option;I know not what I know not.;Je ne connais pas ce que je ne connais pas.;Ich weiß nicht, was ich nicht weiß.;;Sé que no es lo que yo no sé.;;;;;;;;;x
EVTDESCCHAPER14;After months of study and quiet contemplation, you have come to understand the faith a little more. Though no theological mastermind, your subjects now respect you as a leader truly devoted to understanding the will of [Root.Religion.GetRandomGodName].;Après des mois d'étude et de contemplation silencieuse, vous en êtes venu à comprendre un peu plus votre foi. Bien que vous ne soyez pas une pointure, vos sujets vous respectent désormais comme un véritable meneur dévoué à comprendre la volonté de [Root.Religion.GetRandomGodName].;Nach Monaten des Studiums und der inneren Einkehr, habt Ihr es geschafft, den Glauben ein wenig mehr zu begreifen. Obwohl Ihr sicher kein großer Vordenker geworden seid, respektieren Euch Eure Untertanen als Herrscher, der sich wahrlich dafür hingibt den Willen von [Root.Religion.GetRandomGodName] zu verstehen.;;Después de meses de estudio y la contemplación tranquila, usted ha llegado a comprender la fe un poco más. Aunque no eres ningún autor intelectual teologico, los demas ahora te respetan como líder verdaderamente dedicado a la comprensión de la voluntad de [Root.Religion.GetRandomGodName].;;;;;;;;;x
theological_improve_ends_option;I know now what I know not.;Je ne connais pas ce que je ne connais pas.;Ich weiß nun, was ich nicht weiß.;;Sé que no es lo que yo no sé.;;;;;;;;;x
EVTDESCCHAPER15;Due to recent events, your tutor can no longer continue guiding you through the theological labyrinth. Although you have learned much, there is much more that you cannot understand without further guidance. Your studies have been terminated for the time being. ;Au vu des récents événements, votre tuteur ne peut plus continuer à vous guider à travers le labyrinthe théologique. Bien que vous ayez beaucoup appris, il y a bien plus encore que vous ne pouvez comprendre sans autres conseils. Vos études ont pris fin pour le moment.;Aus aktuellem Anlass kann Euer Lehrer Euch nicht mehr weiter durch das Labyrinth der Theologie führen. Obwohl Ihr einiges gelernt habt, gibt es doch viel mehr, dass Ihr nicht ohne weitere Anleitung zu verstehen vermögt. Eure Studien sind vorerst beendet.;;Debido a los recientes acontecimientos, tu tutor ya no puede continuar guiandote a través del laberinto teológico. A pesar de que has aprendido mucho, hay mucho más que no se puede entender sin mayor orientación. Tus estudios se han terminado por el momento.;;;;;;;;;x
theological_improve_ends_abruptly_option;I submit to the will of [Root.Religion.GetRandomGodName]. ;Je me soumets à la volonté de [Root.Religion.GetRandomGodName].;Ich unterwerfe mich dem Willen von [Root.Religion.GetRandomGodName].;;Me someto a la voluntad de [Root.Religion.GetRandomGodName].;;;;;;;;;x
EVTDESCTRAYAR20;Due to recent events, your former Marshal can no longer train you in the martial arts. Although you have made much progress, your technique is still  unrefined and further instruction under a new tutor will be needed before you reach a level of proficiency. ;En raison des récents événements, votre ancien maréchal ne peut plus vous former aux arts martiaux. Bien que vous ayez fait beaucoup de progrès, votre technique est encore grossière et vous aurez besoin d'un nouveau tuteur pour vous permettre de maîtriser les compétences qui vous manquent.;Aus aktuellem Anlass kann Euer Marshall Euch nicht mehr weiter in den Künsten das Kampfes unterrichten. Obwohl Ihr guten Fortschritt gemacht habt, sind Eure Kampftechniken noch nicht verfeinert und ohne weitere Anleitung vermögt Ihr es nicht, Eure Fertigkeiten weiter zu verbessern. ;;Debido a los recientes acontecimientos, el ex mariscal ya no puede entrenarte en las artes de la guerra. A pesar de que has hecho muchos progresos, su técnica es todavía sin refinar y más instrucción bajo un nuevo tutor serán necesarias antes de que llegues a un nivel de competencia.;;;;;;;;;x
martial_improve_ends_abruptly_option;I will take up my sword again one day! ;Un jour, je reprendrai mon épée.;Eines Tages werde ich mein Schwert erneut ergreifen.;;¡Voy a tomar mi espada de nuevo algún día!.;;;;;;;;;x
